county,total,10less,10to15,15to20,20to25,25to35,25to35,35to50,35to50,35to50,50to75,50to75,75to100,100to150,100to150,150plus,150plus
"Douglas County, Nebraska: Summary level: 050, state:31> county:055",75686,4614,3191,2806,2847,3077,3208,2731,3168,3120,5258,7850,10418,7557,5008,5221,5612
"Durham County, North Carolina: Summary level: 050, state:37> county:063",39009,2053,1667,1711,1726,1433,1858,1545,1676,1824,2866,3805,5441,3571,2893,2411,2529
"Duval County, Florida: Summary level: 050, state:12> county:031",130676,10557,5859,5595,5730,6252,6586,6134,5946,4961,11317,13765,17572,11161,6898,6504,5839
"El Paso County, Colorado: Summary level: 050, state:08> county:041",92713,5112,3210,2918,3482,3090,3823,3527,3332,3374,7029,8932,12498,10441,7544,7867,6534
"El Paso County, Texas: Summary level: 050, state:48> county:141",96268,8032,5855,6166,5643,5472,5790,5000,4531,4229,7483,9783,10289,6823,4100,3925,3147
"Erie County, New York: Summary level: 050, state:36> county:029",154221,11276,6102,5793,5933,5461,6346,6308,6355,5609,12880,16898,22389,15963,9967,9676,7265
"Essex County, New Jersey: Summary level: 050, state:34> county:013",112455,9316,4393,4218,3964,4357,4555,4111,3960,3476,7904,9762,12794,10005,6938,8866,13836
"Fayette County, Kentucky: Summary level: 050, state:21> county:067",42946,3665,2029,1649,1624,1531,2059,1492,1932,1615,3025,4183,5188,4052,2959,2971,2972
"Franklin County, Ohio: Summary level: 050, state:39> county:049",170888,12988,6803,6642,6556,6659,7864,7593,8265,6570,13341,17594,22768,15759,10198,10774,10514
"Fresno County, California: Summary level: 050, state:06> county:019",109267,6868,6114,5846,5685,5279,5160,4668,4877,4600,8403,11091,14288,9093,6244,6078,4973
"Fulton County, Georgia: Summary level: 050, state:13> county:121",132366,12149,5881,4803,4794,4740,4713,4801,4490,3904,8508,11011,13089,11067,8277,10638,19501
"Guilford County, North Carolina: Summary level: 050, state:37> county:081",74825,5609,3460,3369,3393,3810,3636,3123,3526,2775,5914,7747,9724,6342,4181,4034,4182
"Hamilton County, Ohio: Summary level: 050, state:39> county:061",130282,11664,6238,5204,5473,5634,5360,5155,4966,5041,9508,12579,16275,11178,7638,8678,9691
"Harris County, Texas: Summary level: 050, state:48> county:201",547053,32746,21726,22851,23287,22059,24665,22099,22006,20693,41526,51622,67858,50246,30919,41310,51440
"Hennepin County, Minnesota: Summary level: 050, state:27> county:053",183236,10497,5707,5093,5496,5471,6255,6279,6636,5707,12565,16248,26134,20558,13906,15698,20986
"Hillsborough County, Florida: Summary level: 050, state:12> county:057",180909,12368,7724,7592,8685,8146,8410,7827,8011,7518,15095,18920,23057,15315,9260,11324,11657
"Hudson County, New Jersey: Summary level: 050, state:34> county:017",84068,6348,3932,4205,4427,3692,3872,3580,2879,3232,6421,8341,10644,7242,4628,5172,5453
"Jackson County, Missouri: Summary level: 050, state:29> county:095",104271,8933,4802,4252,4628,4745,5225,4505,5102,4428,8758,10292,14594,9182,5347,5294,4184
"Jefferson County, Kentucky: Summary level: 050, state:21> county:111",120474,9047,5338,5706,5020,5419,6127,5234,5721,4660,9880,12496,15761,9744,7203,6210,6908
"Kern County, California: Summary level: 050, state:06> county:029",99226,6051,6250,5236,4926,5119,4084,4258,4366,3308,7421,9559,12663,9494,5542,6007,4942
"King County, Washington: Summary level: 050, state:53> county:033",306385,15754,8101,7460,8300,7969,9547,8880,10589,9807,19403,27458,40100,36059,26929,32240,37789
"Lancaster County, Nebraska: Summary level: 050, state:31> county:109",40165,2226,1642,1309,1262,1311,1883,1494,1689,1390,3036,4659,5907,4566,2898,2571,2322
"Los Angeles County, California: Summary level: 050, state:06> county:037",1277166,71115,59704,51122,54078,51003,53914,53394,52320,47234,93675,121316,163159,121304,79388,92514,111926
"Lubbock County, Texas: Summary level: 050, state:48> county:303",34969,2388,1589,1689,1552,2037,1328,1561,1486,1424,3272,3371,4555,3178,1765,1793,1981
"Lucas County, Ohio: Summary level: 050, state:39> county:095",70659,6585,3296,3755,3652,3438,3487,3130,3196,2718,5971,7342,9050,5925,3559,3005,2550
"Maricopa County, Arizona: Summary level: 050, state:04> county:013",516537,32380,19150,19128,20079,19510,22465,20064,23196,18987,42122,53603,69412,52096,35043,35130,34172
"Marion County, Indiana: Summary level: 050, state:18> county:097",133187,11733,6297,6913,7016,6736,8028,6741,6732,5845,10669,12512,16644,10009,6310,5654,5348
"Mecklenburg County, North Carolina: Summary level: 050, state:37> county:119",131956,8127,5593,4782,5242,5421,5448,5190,5674,5187,10448,12931,16050,11823,8292,8909,12839
"Miami-Dade County, Florida: Summary level: 050, state:12> county:086",331802,27867,16637,17581,19081,17742,17639,16313,16397,13207,26480,32752,38394,24106,13738,15407,18461
"Milwaukee County, Wisconsin: Summary level: 050, state:55> county:079",138990,12038,8028,7235,7209,5844,7081,6309,6517,5554,11339,14436,18043,11755,6511,6114,4977
"Multnomah County, Oregon: Summary level: 050, state:41> county:051",111788,9504,5467,4046,4645,4510,4823,4720,4473,4429,8765,11090,14583,10634,6813,6093,7193
"New York County, New York: Summary level: 050, state:36> county:061",245490,25646,12439,11609,10217,9167,9234,6885,8701,6870,13267,17567,23370,17602,12185,16558,44173
"Nueces County, Texas: Summary level: 050, state:48> county:355",48483,3794,1987,2174,2612,2133,2396,2347,1911,1810,3931,4858,6312,4795,2691,2584,2148
"Oklahoma County, Oklahoma: Summary level: 050, state:40> county:109",104790,8437,4812,5141,4593,5088,5436,5250,5180,3793,8385,9442,12813,9163,5282,5718,6257
"Orange County, California: Summary level: 050, state:06> county:059",410908,14050,10025,9701,11676,11245,11810,11819,12316,12525,26395,35242,55571,48680,36440,46344,57069
"Miami-Dade County, Florida: Summary level: 050, state:12> county:086",331802,27867,16637,17581,19081,17742,17639,16313,16397,13207,26480,32752,38394,24106,13738,15407,18461
"Orleans Parish, Louisiana: Summary level: 050, state:22> county:071",58367,8512,4130,3938,3206,2828,2735,2488,2216,2129,4147,4559,5858,3686,2080,2390,3465
"Philadelphia County, Pennsylvania: Summary level: 050, state:42> county:101",211928,30372,15445,12605,12096,10156,11018,9473,10174,8591,16554,18770,22322,12619,7849,7352,6532
"Pima County, Arizona: Summary level: 050, state:04> county:019",144157,11330,7490,6539,7085,6846,6861,6158,6197,5572,11623,14602,18359,13138,8072,7429,6856
"Pinellas County, Florida: Summary level: 050, state:12> county:103",161315,12073,7165,7315,7817,7460,8430,7499,8096,6712,13777,16563,19961,13508,7897,8432,8610
"Ramsey County, Minnesota: Summary level: 050, state:27> county:123",78347,5102,3002,2632,2651,2784,3422,3029,2930,2989,5790,7850,11062,7835,5737,6037,5495
"Riverside County, California: Summary level: 050, state:06> county:065",268010,12983,10948,9903,10397,11251,12336,9838,11575,9929,19031,29091,38630,27936,19097,19730,15335
"Sacramento County, California: Summary level: 050, state:06> county:067",201533,10114,11026,7520,8761,7834,7705,8120,8766,7154,15372,20664,28417,20001,13138,14915,12026
"San Diego County, California: Summary level: 050, state:06> county:073",412643,22787,15876,12851,14695,12605,14667,13644,14389,14081,28837,36531,55874,45474,31307,38625,40400
"San Francisco County, California: Summary level: 050, state:06> county:075",116795,7781,6523,4106,4855,3843,4027,3456,3499,3244,6981,9066,13680,10920,8319,10325,16170
"San Joaquin County, California: Summary level: 050, state:06> county:077",86660,4372,4429,3355,3758,3660,3462,3413,3034,3874,6698,9412,11853,9204,5274,6408,4454
"Santa Clara County, California: Summary level: 050, state:06> county:085",242593,8638,6321,5031,6167,5840,5696,4959,6284,5253,12938,17852,29449,26469,20959,31185,49552
"Sedgwick County, Kansas: Summary level: 050, state:20> county:173",74747,5008,3199,2964,2807,2922,3430,3177,2881,2698,6379,8062,11286,7621,4810,4003,3500
"Shelby County, Tennessee: Summary level: 050, state:47> county:157",140202,12120,6608,6246,6486,6530,7065,5237,5899,5633,11400,13969,16652,11601,8178,7899,8679
"St. Louis County, Missouri: Summary level: 050, state:29> county:189",165701,7749,4863,5188,5301,5246,6641,5936,6750,5740,12664,15882,23137,17103,12068,14358,17075
"Suffolk County, Massachusetts: Summary level: 050, state:25> county:025",92158,9112,5329,3958,3789,2956,3499,3268,3420,3397,6652,8862,10935,8221,5069,6083,7608
"Tarrant County, Texas: Summary level: 050, state:48> county:439",254353,13970,8356,8030,9359,9418,10278,9557,10902,9095,20265,26899,33346,26203,18009,19997,20669
"Travis County, Texas: Summary level: 050, state:48> county:453",138015,7324,4807,3722,5297,5533,5515,5481,5686,4760,10576,12303,16867,14203,9382,10311,16248
"Tulsa County, Oklahoma: Summary level: 050, state:40> county:143",91079,6217,3843,3902,3565,3943,4363,4111,4225,3587,7681,9835,11747,8485,4792,5091,5692
"Virginia Beach city, Virginia: Summary level: 050, state:51> county:810",63003,2230,1237,1320,1776,1835,2580,2033,2470,2172,4816,7053,9290,7615,5458,6111,5007
"Wake County, North Carolina: Summary level: 050, state:37> county:183",131669,4726,3319,3454,3752,3951,4926,4569,4669,4702,10247,12158,18326,14621,11515,13237,13497
"Wayne County, Michigan: Summary level: 050, state:26> county:163",279117,34487,15596,14947,12612,13270,12991,12804,13191,10629,21690,26226,33035,21259,13232,13305,9843
"Webb County, Texas: Summary level: 050, state:48> county:479",24371,2150,1179,1446,1185,1448,1560,1627,1467,1095,2293,2568,2423,1773,934,673,550
