county,total,10less,10to15,15to20,20to25,25to35,25to35,35to50,35to50,35to50,50to75,50to75,75to100,100to150,100to150,150plus,150plus
"San Francisco County, California: Summary level: 050, state:06> county:075",145879,6617,3525,2399,3444,3484,4094,3370,3793,3747,7961,11673,17535,16705,11225,18481,27826
"San Joaquin County, California: Summary level: 050, state:06> county:077",77633,4283,3222,3829,3906,3622,3951,4573,3941,3431,6993,7838,10873,7437,4170,3719,1845
"Santa Clara County, California: Summary level: 050, state:06> county:085",238077,6867,3710,4644,5665,6786,5930,5672,7077,6639,12627,18805,30689,29139,22785,30631,40411
"Sedgwick County, Kansas: Summary level: 050, state:20> county:173",68620,3863,2972,3317,3808,4515,3627,3834,3789,3967,6258,8112,9580,5322,2699,1638,1319
"Shelby County, Tennessee: Summary level: 050, state:47> county:157",125293,11934,6108,7650,7085,7464,7893,6796,7153,5494,9904,13256,13412,8378,5217,4221,3328
"St. Louis County, Missouri: Summary level: 050, state:29> county:189",126154,7323,4330,4656,5812,5738,6327,5414,7070,5588,10370,14166,17429,11256,7164,6966,6545
"Suffolk County, Massachusetts: Summary level: 050, state:25> county:025",122512,10678,4638,4246,4499,3680,4104,4000,5279,4855,9323,12107,16064,12216,8803,8890,9130
"Tarrant County, Texas: Summary level: 050, state:48> county:439",266633,12347,9178,12342,13271,13988,15029,12014,13519,11608,25201,30782,37877,25119,13625,11745,8988
"Travis County, Texas: Summary level: 050, state:48> county:453",192285,10518,6792,7885,8592,8872,10518,9859,10557,8252,15058,21329,24815,16479,10362,11456,10941
"Tulsa County, Oklahoma: Summary level: 050, state:40> county:143",87906,6684,4009,4182,5125,5115,5373,5002,5064,4145,7670,9638,10652,6819,3234,2850,2344
"Virginia Beach city, Virginia: Summary level: 050, state:51> county:810",64043,2437,1362,1284,1421,2134,2597,3134,3743,3464,7393,8927,10717,6917,4167,2915,1431
"Wake County, North Carolina: Summary level: 050, state:37> county:183",149828,5318,4362,4856,4921,6084,8014,6647,7061,6802,12818,16287,21495,16156,10281,10548,8178
"Wayne County, Michigan: Summary level: 050, state:26> county:163",216517,29669,13208,13437,13776,11072,11817,9643,9951,9442,16401,19433,24902,14691,7452,7208,4415
"Webb County, Texas: Summary level: 050, state:48> county:479",29378,3158,2260,2099,1626,1720,1783,1445,1772,1493,2577,2446,2981,1852,1195,504,467
