county,total,owner,u5,5to10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a,renter,u5,5to10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a
"Miami-Dade County, Florida: Summary level: 050, state:12> county:086",828031,461562,11934,14682,20711,22776,23037,43945,62374,84076,59663,63202,55162,366469,22612,38378,34889,32593,30018,50621,54404,52223,23566,17197,9968
"Milwaukee County, Wisconsin: Summary level: 050, state:55> county:079",379637,194837,3259,2575,5318,7177,8417,18171,26814,40851,31140,33014,18101,184800,11777,17314,21841,19330,16820,26287,27829,26057,10281,5101,2163
"Multnomah County, Oregon: Summary level: 050, state:41> county:051",305939,165713,2555,2208,3851,4939,5023,11045,19757,32612,26871,32740,24112,140226,9213,11720,12658,11278,10809,19869,21726,21848,10736,7094,3275
"New York County, New York: Summary level: 050, state:36> county:061",736192,167506,3528,2038,3006,3396,3757,6387,10075,17238,14498,25188,78395,568686,27618,37837,36548,29475,25997,46341,54465,78099,56800,71687,103819
"Nueces County, Texas: Summary level: 050, state:48> county:355",123915,72627,1409,2107,2632,2926,3224,7126,9290,14594,10217,12307,6795,51288,3015,4020,4806,4239,4255,7663,7983,7982,3903,2529,893
"Oklahoma County, Oklahoma: Summary level: 050, state:40> county:109",285320,171023,2663,3056,5416,6901,7836,16225,24544,34347,24649,25938,19448,114297,8167,10760,10958,10821,9968,18642,17974,15603,6539,3275,1590
"Orange County, California: Summary level: 050, state:06> county:059",995512,584250,7911,5926,10295,13187,14444,31602,48201,83722,79688,128457,160817,411262,15908,12809,24046,22198,22861,42643,59762,79548,52567,49845,29075
"Orange County, Florida: Summary level: 050, state:12> county:095",415790,238762,4522,4623,7732,9615,9882,23232,32933,47553,32576,37260,28834,177028,10663,10478,13868,14730,15207,28442,30932,29297,12093,8173,3145
"Orleans Parish, Louisiana: Summary level: 050, state:22> county:071",148398,70175,2531,2317,3549,3471,3249,6550,9044,12340,8496,8949,9679,78223,8534,9412,8200,7519,6197,9622,9827,9298,4306,3466,1842
"Philadelphia County, Pennsylvania: Summary level: 050, state:42> county:101",580017,308931,11287,12998,19203,17168,18596,31365,43642,56055,38426,36074,24117,271086,29248,31954,28272,21762,20470,34419,36169,34767,15745,11939,6341
"Pima County, Arizona: Summary level: 050, state:04> county:019",384041,240615,4682,5385,8739,10171,12030,23582,34686,47950,34646,36762,21982,143426,11163,11942,15868,12326,12917,20450,22248,19803,9355,5425,1929
"Pinellas County, Florida: Summary level: 050, state:12> county:103",401708,268957,7355,6927,12009,14133,15070,29699,39338,51174,33783,34257,25212,132751,8099,8086,11383,12003,11537,18998,22534,21870,9340,6055,2846
"Ramsey County, Minnesota: Summary level: 050, state:27> county:123",205395,122732,1380,1266,2159,2982,3725,9086,14529,24775,21159,23968,17703,82663,5397,7202,7602,7246,6938,12434,13385,12091,5717,3411,1240
"Riverside County, California: Summary level: 050, state:06> county:065",683144,454455,7957,6809,14211,16695,18361,40071,56823,84086,68168,82461,58813,228689,10376,10689,21016,18127,18322,29846,36131,40034,20867,16643,6638
"Sacramento County, California: Summary level: 050, state:06> county:067",517243,293263,4354,3644,7403,7654,9916,20157,34891,57425,47852,57472,42495,223980,11529,11258,22781,17376,16796,31605,36247,38117,18554,13901,5816
"San Diego County, California: Summary level: 050, state:06> county:073",1076483,579661,14168,6456,12896,14951,16100,34332,55481,93649,85476,121166,124986,496822,24897,18323,34182,29371,32610,61363,79497,91201,55178,46656,23544
"San Francisco County, California: Summary level: 050, state:06> county:075",345344,126394,1770,1164,2713,2512,3467,6078,9052,15168,14602,24263,45605,218950,11047,9228,18556,10569,10514,17640,21350,30676,23306,30905,35159
"San Joaquin County, California: Summary level: 050, state:06> county:077",215563,125680,1818,1778,3400,4210,4340,9241,16798,23814,19375,24312,16594,89883,3628,5195,9241,7296,7316,12306,14110,15275,7597,5665,2254
"Santa Clara County, California: Summary level: 050, state:06> county:085",609377,350367,4404,2536,5047,6189,7202,14126,23272,41722,41318,72720,131831,259010,9115,7661,14191,12063,12221,23029,29845,41361,32195,42349,34980
"Sedgwick County, Kansas: Summary level: 050, state:20> county:173",192651,125055,1783,1787,3817,4465,4766,10920,17781,26789,20623,21237,11087,67596,4389,5400,6335,7152,6119,10865,11002,10027,3631,1883,793
"Shelby County, Tennessee: Summary level: 050, state:47> county:157",343517,203331,4558,3661,6973,7906,8150,17998,25746,40878,28735,32961,25765,140186,12446,12830,13801,13201,12194,21133,21600,18838,7078,5075,1990
"St. Louis County, Missouri: Summary level: 050, state:29> county:189",403293,286442,4305,3612,7004,9260,10574,22041,33482,54593,41156,50675,49740,116851,7163,7574,9589,9485,10342,17511,20517,17957,9246,4993,2474
"Suffolk County, Massachusetts: Summary level: 050, state:25> county:025",288240,102413,1525,1278,2344,2544,2630,5103,8887,16798,15285,21623,24396,185827,15583,15763,17991,12544,10155,16705,23409,28452,16941,17191,11093
"Tarrant County, Texas: Summary level: 050, state:48> county:439",659736,407132,5713,5645,9320,11641,13780,29495,46795,78693,62941,80287,62822,252604,12834,14438,19725,20358,19576,38666,41860,46778,20466,12740,5163
"Travis County, Texas: Summary level: 050, state:48> county:453",411876,213191,2737,2447,4001,4381,5482,12393,22145,37156,31146,43516,47787,198685,12720,11737,13697,13171,13716,27294,34582,34566,17954,13060,6188
"Tulsa County, Oklahoma: Summary level: 050, state:40> county:143",241915,147424,2142,3010,4279,5545,5977,13254,19957,30890,21531,23682,17157,94491,7062,6642,9201,8530,8385,14662,16151,14090,5319,3030,1419
"Virginia Beach city, Virginia: Summary level: 050, state:51> county:810",164944,105839,1392,991,1915,2162,2947,6524,11256,21789,17550,22810,16503,59105,2215,1816,2748,3040,2410,7708,11884,13764,6815,5102,1603
"Wake County, North Carolina: Summary level: 050, state:37> county:183",348627,227376,2215,2157,4007,4283,4743,13440,23329,41074,35498,50412,46218,121251,5617,5735,8481,8909,8886,18047,20872,22227,11602,7937,2938
"Wayne County, Michigan: Summary level: 050, state:26> county:163",670987,434471,13292,13302,19634,21085,22419,45062,62822,83193,58697,58653,36312,236516,26313,31899,27030,24076,19882,30544,30286,26304,10810,6853,2519
"Webb County, Texas: Summary level: 050, state:48> county:479",67372,43127,1064,1728,2395,2473,2093,4537,7158,8492,5164,5682,2341,24245,2308,3096,2803,2586,1850,3560,3174,2987,1004,624,253
