c1,c2,net,dist
0,63,-8,1332
3,72,-8,1110
4,36,-8,2304
6,19,-8,732
6,27,-8,1179
7,8,-8,1067
7,28,-8,1671
7,64,-8,1407
8,72,-8,958
9,68,-8,969
11,15,-8,1182
13,71,-8,455
14,27,-8,1387
18,48,-8,979
18,65,-8,760
18,72,-8,831
19,28,-8,1071
19,33,-8,546
19,43,-8,1326
20,48,-8,587
20,49,-8,571
21,40,-8,264
22,30,-8,1014
22,36,-8,2365
22,43,-8,524
22,56,-8,995
22,72,-8,479
25,56,-8,1491
26,48,-8,886
31,33,-8,1031
31,72,-8,994
32,43,-8,528
32,65,-8,882
33,42,-8,441
33,46,-8,1496
36,37,-8,1322
36,63,-8,1403
37,73,-8,912
38,48,-8,1299
38,51,-8,2197
38,53,-8,2382
38,55,-8,2135
44,67,-8,1121
45,73,-8,1231
50,61,-8,352
53,65,-8,823
61,63,-8,1296
62,64,-8,1770
63,72,-8,813
66,72,-8,624
67,72,-8,1008
0,10,-7,2141
0,37,-7,1362
0,39,-7,1158
0,54,-7,687
3,23,-7,1073
3,45,-7,880
4,45,-7,642
5,12,-7,1075
5,13,-7,1117
5,24,-7,1336
5,30,-7,977
5,73,-7,663
6,16,-7,829
6,37,-7,790
6,42,-7,1001
7,17,-7,2005
7,27,-7,1955
7,46,-7,751
7,56,-7,1295
7,59,-7,240
8,10,-7,995
8,51,-7,955
9,49,-7,674
9,73,-7,1170
11,43,-7,928
11,48,-7,352
12,36,-7,1592
14,28,-7,1083
14,65,-7,775
16,42,-7,535
18,34,-7,589
18,40,-7,788
18,68,-7,959
21,64,-7,794
24,64,-7,500
24,69,-7,751
25,33,-7,1384
25,34,-7,1856
25,51,-7,2282
26,64,-7,324
28,73,-7,1160
29,32,-7,1413
29,73,-7,279
31,39,-7,1221
31,42,-7,848
31,56,-7,1322
32,45,-7,731
33,43,-7,788
34,73,-7,1069
40,63,-7,782
43,53,-7,452
43,72,-7,504
44,73,-7,1167
46,57,-7,883
51,69,-7,997
52,64,-7,356
54,61,-7,670
54,65,-7,1281
54,71,-7,1908
55,65,-7,863
55,70,-7,722
59,61,-7,423
59,64,-7,1538
59,72,-7,1924
65,73,-7,909
0,1,-6,2236
0,28,-6,2011
0,42,-6,1920
0,64,-6,1778
0,69,-6,1433
1,65,-6,571
3,19,-6,57
3,20,-6,554
3,24,-6,1130
3,43,-6,1321
3,68,-6,742
4,30,-6,947
4,53,-6,92
5,40,-6,1322
6,25,-6,1319
6,51,-6,1037
6,53,-6,1509
6,58,-6,1442
6,64,-6,641
6,72,-6,1227
7,34,-6,1614
