c1,c2,net,dist
6,56,2,1116
7,47,2,2223
7,55,2,1965
8,30,2,833
8,59,2,1166
8,60,2,1484
9,47,2,722
9,50,2,1719
10,16,2,751
10,52,2,912
11,52,2,446
11,66,2,1547
12,31,2,1119
12,48,2,1155
12,73,2,1194
13,16,2,617
13,22,2,748
13,53,2,685
13,60,2,1960
14,18,2,1459
14,46,2,974
14,63,2,425
15,61,2,2373
15,68,2,1317
16,18,2,1107
16,43,2,929
16,52,2,853
16,61,2,1352
16,64,2,541
16,73,2,952
17,46,2,2340
17,52,2,761
17,60,2,2389
17,63,2,1032
17,67,2,1072
18,25,2,2216
18,30,2,1199
18,52,2,491
18,61,2,2306
19,47,2,1620
19,71,2,1432
20,31,2,1456
20,40,2,1419
20,45,2,1264
20,63,2,644
22,27,2,442
22,49,2,1305
22,50,2,2418
22,58,2,2481
22,61,2,2490
22,73,2,1683
23,66,2,766
24,46,2,2016
24,49,2,842
26,62,2,2094
26,69,2,669
28,54,2,1600
29,39,2,457
29,57,2,1237
30,41,2,1292
31,52,2,482
32,36,2,2375
32,41,2,2162
32,49,2,1314
32,50,2,2428
32,58,2,2491
32,60,2,2564
34,60,2,1990
35,46,2,730
35,48,2,1346
35,63,2,1190
37,70,2,1142
37,72,2,699
39,53,2,1534
39,56,2,915
39,71,2,1322
40,46,2,1941
40,54,2,1680
40,55,2,947
40,57,2,1839
40,60,2,2063
43,60,2,2299
43,62,2,2264
43,64,2,512
43,65,2,580
45,54,2,1500
45,67,2,870
45,70,2,763
46,55,2,2478
47,51,2,946
47,55,2,1019
47,67,2,1400
48,55,2,911
48,63,2,688
48,71,2,1244
50,51,2,2171
50,55,2,2107
51,54,2,1825
52,58,2,1876
52,66,2,1346
52,70,2,923
53,54,2,2103
55,68,2,923
55,72,2,992
58,60,2,78
59,68,2,1128
60,63,2,1361
63,71,2,1048
72,73,2,1349
0,49,3,1361
1,14,3,1312
1,16,3,846
2,5,3,1243
2,35,3,1859
2,55,3,919
3,4,3,1473
4,6,3,1418
4,9,3,613
4,11,3,1210
4,17,3,258
4,37,3,1064
4,70,3,178
5,31,3,1512
5,43,3,1455
5,48,3,734
5,62,3,851
6,65,3,784
7,44,3,2156
7,66,3,2362
8,9,3,765
8,16,3,560
8,48,3,383
10,40,3,104
10,65,3,503
10,68,3,1181
10,70,3,440
12,32,3,804
12,49,3,671
12,52,3,901
12,60,3,1764
13,42,3,252
13,58,3,1894
13,61,3,1895
13,66,3,940
15,18,3,649
15,31,3,817
15,55,3,826
15,67,3,1209
16,31,3,1211
16,54,3,1071
16,55,3,1195
16,57,3,1202
17,21,3,465
17,25,3,2251
17,37,3,1016
17,61,3,2324
17,73,3,1326
18,60,3,2370
19,44,3,1664
19,61,3,908
20,32,3,1885
20,51,3,1499
20,60,3,1005
20,65,3,1008
21,37,3,933
21,52,3,1075
21,73,3,1550
22,28,3,555
22,37,3,1171
23,32,3,586
23,54,3,1592
23,70,3,470
23,73,3,1115
24,25,3,1984
24,60,3,2110
25,43,3,2158
26,58,3,2069
26,68,3,815
27,32,3,447
28,58,3,1967
28,63,3,706
28,64,3,404
28,66,3,736
28,71,3,399
29,61,3,1579
30,36,3,1356
30,67,3,869
31,59,3,2072
32,38,3,2435
32,62,3,2539
33,47,3,1086
33,53,3,1025
33,66,3,1238
34,37,3,613
34,52,3,613
34,54,3,1529
35,47,3,2439
35,55,3,2167
36,64,3,1842
36,66,3,2464
37,52,3,834
37,66,3,1324
39,40,3,1135
39,43,3,1200
39,45,3,991
39,47,3,1604
39,51,3,1257
39,66,3,1769
41,62,3,583
42,46,3,1869
42,64,3,378
43,46,3,2273
43,49,3,933
43,61,3,2234
43,69,3,850
44,58,3,2523
45,60,3,1838
45,68,3,1030
46,61,3,529
49,51,3,1055
49,53,3,1251
52,55,3,458
52,57,3,1547
53,55,3,939
53,68,3,1438
54,73,3,803
56,68,3,1046
56,69,3,632
60,67,3,1455
61,69,3,1398
66,67,3,1572
0,71,4,2377
1,20,4,1577
1,71,4,331
2,7,4,1643
2,70,4,569
3,47,4,1597
3,48,4,908
3,67,4,616
4,20,4,1736
4,21,4,262
4,50,4,2298
4,57,4,2203
4,61,4,2388
4,63,4,1130
5,46,4,1098
5,67,4,559
6,22,4,1572
8,50,4,1220
9,51,4,988
10,57,4,1940
10,60,4,2167
10,73,4,1375
12,15,4,707
12,20,4,1205
13,46,4,1954
13,69,4,511
14,44,4,1710
15,19,4,1474
15,20,4,1711
15,25,4,2311
15,58,4,2366
15,71,4,233
16,26,4,823
16,32,4,1150
17,58,4,2321
17,59,4,2152
18,32,4,837
18,41,4,1814
18,57,4,2015
18,59,4,2060
19,35,4,818
19,51,4,1503
19,53,4,1563
20,59,4,618
20,62,4,955
21,61,4,2241
21,70,4,438
22,54,4,2154
22,59,4,2384
22,68,4,1501
22,71,4,419
23,50,4,1878
23,57,4,1781
23,60,4,2056
23,61,4,1991
24,31,4,832
24,52,4,789
25,48,4,1425
26,61,4,2068
27,28,4,337
28,50,4,1874
28,68,4,968
30,35,4,1483
30,37,4,333
30,55,4,1320
30,68,4,1040
31,54,4,1782
31,68,4,948
32,59,4,2394
32,66,4,189
33,44,4,1224
33,54,4,1088
33,67,4,460
33,70,4,1008
34,70,4,535
37,44,4,1398
37,48,4,904
39,44,4,1388
40,52,4,873
40,70,4,526
41,50,4,304
42,63,4,626
42,70,4,585
42,71,4,493
43,70,4,286
45,50,4,1727
46,58,4,492
46,68,4,1693
47,59,4,2400
49,60,4,1392
52,59,4,1589
53,71,4,348
55,67,4,929
56,66,4,1113
63,64,4,453
65,70,4,796
67,73,4,367
1,25,5,2139
1,35,5,2125
1,37,5,874
2,20,5,1337
2,32,5,574
2,58,5,1920
3,9,5,877
3,46,5,1003
3,49,5,473
3,54,5,667
3,61,5,918
4,41,5,2025
5,23,5,1246
5,56,5,992
6,14,5,798
6,47,5,1587
6,57,5,1069
6,62,5,1436
8,62,5,1441
9,25,5,1727
10,49,5,942
11,20,5,557
11,58,5,1429
12,68,5,993
13,19,5,988
13,20,5,1154
13,35,5,1785
14,43,5,1350
14,61,5,890
15,57,5,2183
16,35,5,1287
17,26,5,352
17,30,5,984
17,32,5,417
17,42,5,473
17,57,5,2098
17,62,5,2355
17,69,5,952
18,20,5,1454
18,24,5,670
18,50,5,2116
20,44,5,1609
22,40,5,492
22,42,5,630
22,44,5,1109
22,51,5,937
23,31,5,710
23,63,5,708
23,69,5,646
24,33,5,608
24,54,5,1689
24,57,5,1863
24,66,5,641
25,39,5,1028
25,63,5,1220
26,41,5,1609
26,47,5,753
27,54,5,1844
27,60,5,2339
27,64,5,571
27,67,5,1022
29,44,5,952
30,43,5,947
30,60,5,1573
32,55,5,1012
32,67,5,1393
32,69,5,1223
33,48,5,802
33,60,5,1518
33,64,5,360
36,42,5,1843
36,45,5,1662
36,47,5,2378
37,42,5,559
37,54,5,1030
37,67,5,554
39,50,5,916
39,62,5,1144
40,50,5,1931
41,44,5,1985
42,57,5,1696
43,47,5,536
43,54,5,1787
43,59,5,2049
48,60,5,1592
48,69,5,589
49,52,5,578
49,54,5,858
49,55,5,1009
49,57,5,1062
51,68,5,994
52,62,5,1885
53,73,5,1618
56,61,5,1529
60,68,5,1496
61,67,5,1393
61,68,5,1437
65,68,5,709
0,8,6,1454
1,8,6,1043
1,15,6,191
1,54,6,1852
1,58,6,2190
1,64,6,651
1,70,6,332
2,26,6,506
2,37,6,606
2,45,6,198
2,57,6,1762
2,62,6,1966
4,22,6,161
4,38,6,2307
5,49,6,522
5,55,6,1489
8,58,6,1429
9,29,6,929
9,60,6,1847
10,31,6,933
10,66,6,547
10,69,6,851
12,16,6,366
12,55,6,1110
12,58,6,1689
13,25,6,1818
15,29,6,1217
15,50,6,2278
17,19,6,1416
17,38,6,2211
17,72,6,493
20,37,6,818
21,49,6,1114
21,57,6,2097
21,58,6,2231
22,26,6,739
22,70,6,294
23,25,6,1922
23,52,6,634
24,39,6,1127
24,55,6,831
24,58,6,2038
25,54,6,550
25,67,6,1295
26,37,6,826
26,39,6,997
26,50,6,1905
26,59,6,1855
26,60,6,2132
27,41,6,1859
27,55,6,588
29,58,6,1590
30,71,6,1005
32,44,6,1110
33,61,6,1453
33,63,6,191
34,57,6,1716
37,68,6,725
39,46,6,1365
39,72,6,1170
42,43,6,428
43,67,6,957
45,49,6,721
45,64,6,550
46,53,6,2393
47,50,6,2433
48,49,6,541
49,50,6,1162
54,56,6,1342
56,57,6,1442
63,65,6,386
1,43,7,363
2,3,7,1018
2,18,7,768
2,44,7,1101
2,47,7,580
2,60,7,1993
2,66,7,726
3,39,7,439
3,69,7,518
4,10,7,302
4,48,7,1446
4,55,7,860
4,66,7,357
6,12,7,1067
7,9,7,1504
7,60,7,423
8,61,7,1422
9,11,7,796
12,27,7,704
13,41,7,1468
13,43,7,339
13,47,7,763
13,62,7,1925
15,33,7,930
15,44,7,941
15,62,7,2409
15,65,7,723
15,66,7,391
16,50,7,1290
17,18,7,426
17,33,7,871
17,41,7,1909
17,64,7,621
17,70,7,164
18,39,7,1200
19,55,7,1460
19,57,7,728
19,64,7,844
20,28,7,1320
21,65,7,676
22,38,7,2425
22,62,7,2529
24,41,7,1688
24,67,7,935
25,68,7,1331
27,37,7,969
27,39,7,1259
27,42,7,431
27,52,7,719
27,58,7,2271
28,45,7,318
30,31,7,1331
30,44,7,1521
30,58,7,1497
34,41,7,1535
34,69,7,583
37,58,7,1317
40,43,7,466
40,51,7,913
45,51,7,1065
45,57,7,1639
45,71,7,703
46,69,7,1520
49,61,7,1328
53,59,7,2338
53,62,7,2492
58,68,7,1449
61,62,7,54
65,66,7,1047
65,67,7,557
1,6,8,1292
1,7,8,1909
1,60,8,2262
1,61,8,2198
2,8,8,835
2,11,8,864
2,16,8,576
2,33,8,512
2,59,8,1822
2,64,8,485
2,68,8,1029
2,69,8,680
3,6,8,777
3,8,8,620
3,11,8,634
3,25,8,853
3,31,8,1496
5,9,8,1119
5,35,8,681
6,44,8,1130
7,36,8,853
8,25,8,1326
8,44,8,1094
8,52,8,448
9,20,8,1230
9,31,8,1010
9,41,8,1466
10,61,8,2102
12,17,8,742
12,23,8,433
12,25,8,1651
12,26,8,694
12,43,8,709
12,51,8,1099
12,63,8,563
13,14,8,1015
13,52,8,461
13,65,8,264
14,67,8,641
16,25,8,1295
16,49,8,402
16,63,8,259
17,68,8,1160
19,65,8,757
21,25,8,2191
21,33,8,855
21,42,8,436
21,43,8,531
23,41,8,1599
23,58,8,1987
23,65,8,326
23,67,8,807
27,50,8,2146
27,57,8,2047
28,48,8,1092
28,62,8,2008
28,69,8,658
29,52,8,328
30,65,8,466
30,69,8,627
33,37,8,174
33,52,8,669
33,55,8,1015
34,55,8,728
34,66,8,820
35,60,8,264
36,71,8,2336
40,58,8,1989
42,55,8,842
42,62,8,1917
43,50,8,2095
43,66,8,717
45,59,8,1701
48,59,8,1194
48,72,8,1289
49,62,8,1352
56,67,8,875
57,60,8,454
70,72,8,542
0,50,9,357
1,34,9,342
3,36,9,1025
4,26,9,578
4,32,9,167
4,34,9,493
4,44,9,974
4,49,9,1167
4,51,9,792
5,8,9,591
6,20,9,486
10,25,9,2047
10,35,9,2036
10,50,9,2033
10,58,9,2093
12,44,9,1306
12,59,9,1631
12,64,9,544
12,67,9,830
13,33,9,458
13,49,9,596
15,41,9,2004
15,59,9,2241
16,60,9,1416
18,38,9,2140
18,47,9,843
21,39,9,1398
21,67,9,1222
21,71,9,481
22,34,9,634
24,30,9,636
24,50,9,1957
24,62,9,2081
26,63,9,776
27,30,9,945
27,63,9,982
28,55,9,784
28,60,9,2038
31,38,9,2159
32,51,9,939
36,57,9,997
36,70,9,2420
36,72,9,1899
37,64,9,534
39,48,9,476
40,41,9,1672
40,62,9,2036
40,65,9,414
42,58,9,1876
45,58,9,1763
45,62,9,1814
45,66,9,858
46,67,9,1599
56,60,9,1592
1,55,10,880
2,71,10,505
3,51,10,1515
3,63,10,395
3,65,10,747
5,25,10,735
5,54,10,359
8,57,10,1119
10,14,10,1220
10,33,10,690
10,53,10,354
10,54,10,1778
10,67,10,1046
11,44,10,1094
11,57,10,1111
13,31,10,626
13,50,10,1756
13,51,10,614
14,25,10,826
16,44,10,1403
16,51,10,1213
16,67,10,592
17,66,10,603
19,69,10,505
20,46,10,1286
21,54,10,1943
23,30,10,669
23,62,10,2024
24,45,10,331
24,47,10,480
24,70,10,436
26,67,10,744
27,59,10,2102
30,62,10,1554
33,57,10,1254
33,58,10,1449
34,50,10,1813
34,62,10,1958
34,65,10,260
37,47,10,1186
37,60,10,1388
39,73,10,430
42,59,10,1755
42,60,10,1947
42,69,10,590
43,55,10,517
45,69,10,637
46,72,10,1941
48,51,10,991
53,67,10,1325
54,60,10,717
1,5,11,1498
1,19,11,1306
1,41,11,1850
1,52,11,911
1,69,11,914
2,49,11,770
2,50,11,1854
3,58,11,913
5,61,11,834
6,38,11,1201
10,11,11,1023
10,18,11,767
10,42,11,261
11,73,11,378
12,37,11,405
12,53,11,767
14,54,11,655
15,26,11,544
15,38,11,2288
16,62,11,1389
17,43,11,122
18,29,11,820
19,39,11,390
19,58,11,906
22,29,11,1406
23,42,11,150
23,64,11,359
24,28,11,97
26,30,11,911
27,62,11,2306
28,30,11,609
28,41,11,1602
28,47,11,571
37,69,11,324
40,66,11,647
42,72,11,228
43,68,11,1040
49,58,11,1331
51,67,11,989
56,64,11,700
1,50,12,2117
1,66,12,479
2,19,12,1040
2,63,12,702
2,67,12,885
4,29,12,1248
4,31,12,851
6,48,12,130
8,35,12,1272
8,39,12,304
10,15,12,300
12,14,12,832
12,22,12,794
12,34,12,390
13,26,12,210
16,36,12,1329
17,65,12,660
18,55,12,176
21,60,12,2305
23,33,12,538
23,44,12,889
24,59,12,1922
28,42,12,95
30,50,12,1506
30,59,12,1490
30,63,12,546
36,43,12,2256
36,55,12,2489
36,60,12,674
39,59,12,861
40,44,12,1120
40,59,12,1899
42,44,12,1031
45,53,12,694
45,63,12,620
53,66,12,265
63,67,12,339
65,72,12,452
1,57,13,2024
2,41,13,1593
5,6,13,612
5,7,13,475
5,11,13,588
5,60,13,895
6,54,13,808
7,62,13,376
8,54,13,888
9,44,13,1195
10,34,13,308
10,44,13,1094
11,54,13,876
12,13,13,497
13,37,13,623
15,32,13,201
15,51,13,758
16,37,13,44
16,41,13,1049
19,29,13,808
20,50,13,682
21,28,13,390
21,55,13,1048
23,59,13,1838
27,40,13,436
27,49,13,987
28,67,13,838
31,55,13,25
33,41,13,1082
33,50,13,1349
36,67,13,1634
37,41,13,1009
37,61,13,1324
37,62,13,1360
40,49,13,851
42,47,13,646
48,54,13,899
1,26,14,522
2,4,14,462
3,57,14,763
13,18,14,499
17,31,14,594
19,60,14,973
21,31,14,1044
21,35,14,2186
21,45,14,467
24,29,14,988
24,44,14,1002
24,53,14,416
29,35,14,1406
29,67,14,230
34,47,14,649
36,49,14,1498
37,49,14,363
37,63,14,218
40,47,14,507
40,67,14,966
42,49,14,681
42,51,14,823
48,57,14,1165
54,62,14,664
54,63,14,898
56,58,14,1515
1,49,15,1005
2,14,15,1044
2,24,15,133
7,54,15,338
8,20,15,572
9,59,15,1690
12,62,15,1740
12,65,15,310
13,63,15,598
15,53,15,125
20,38,15,715
21,32,15,277
23,47,15,592
24,34,15,188
31,67,15,953
33,59,15,1313
33,62,15,1486
33,65,15,211
34,53,15,578
34,59,15,1773
34,67,15,752
34,71,15,421
37,51,15,1210
40,71,15,484
64,68,15,568
1,29,16,1135
1,30,16,752
3,29,16,844
6,41,16,866
9,58,16,1773
10,26,16,549
10,71,16,422
12,33,16,380
15,27,16,247
21,50,16,2188
23,55,16,705
24,65,16,408
27,31,16,582
34,49,16,673
35,62,16,209
56,71,16,990
57,59,16,65
0,59,17,430
1,51,17,828
3,41,17,626
10,29,17,1108
14,58,17,885
21,34,17,482
21,51,17,994
22,53,17,71
23,51,17,680
23,53,17,518
24,42,17,167
27,71,17,66
28,31,17,789
28,44,17,966
29,41,17,1033
49,67,17,192
1,13,18,473
1,42,18,329
3,5,18,341
3,7,18,627
8,41,18,919
10,62,18,2141
12,50,18,1656
13,59,18,1711
17,53,18,341
19,25,18,837
19,41,18,583
23,26,18,293
24,27,18,321
26,44,18,611
27,53,18,371
27,70,18,212
28,59,18,1837
34,38,18,1824
37,59,18,1227
42,53,18,583
45,47,18,735
1,2,19,269
2,38,19,1860
6,29,19,189
10,19,19,1218
13,44,19,817
21,23,19,444
21,41,19,1934
21,46,19,2148
22,32,19,10
23,71,19,357
24,51,19,795
26,55,19,417
27,34,19,355
28,33,19,526
33,51,19,1036
35,36,19,854
36,58,19,624
49,68,19,361
51,55,19,91
68,73,19,201
1,59,20,2083
2,13,20,353
2,27,20,449
2,42,20,107
3,62,20,952
5,50,20,639
10,30,20,644
10,41,20,1772
12,40,20,311
14,50,20,826
14,62,20,924
18,44,20,333
23,43,20,279
24,43,20,347
26,31,20,425
28,29,20,892
34,43,20,336
34,44,20,919
36,53,20,2349
39,54,20,588
40,53,20,458
64,67,20,455
1,44,21,1027
1,62,21,2235
5,58,21,844
6,73,21,126
13,67,21,642
14,41,21,611
16,58,21,1344
17,44,21,727
24,26,21,434
27,43,21,82
39,57,21,814
46,50,21,854
56,65,21,461
1,17,22,312
2,40,22,81
2,53,22,526
4,72,22,405
5,29,22,747
6,7,22,1063
7,38,22,223
17,71,22,21
26,29,22,697
28,53,22,503
29,38,22,1368
35,54,22,457
48,73,22,104
56,62,22,1573
2,23,23,214
2,28,23,135
2,43,23,465
11,39,23,297
12,19,23,839
14,29,23,869
15,43,23,328
16,65,23,353
17,47,23,424
27,29,23,1000
27,47,23,454
35,50,23,126
36,69,23,1535
2,29,24,969
3,50,24,848
8,29,24,240
10,59,24,2001
21,44,24,1189
27,38,24,2160
37,50,24,1254
42,65,24,243
43,44,24,666
46,59,24,915
56,59,24,1507
1,22,25,301
2,34,25,204
2,51,25,893
3,59,25,826
9,38,25,1723
10,22,25,388
11,41,25,910
16,33,25,184
17,29,25,1047
19,62,25,939
21,59,25,2159
21,66,25,390
10,47,26,403
12,29,26,971
13,29,26,662
21,30,26,750
21,53,26,265
22,66,26,196
23,38,26,1890
28,43,26,340
33,69,26,217
34,51,26,711
36,41,26,1090
4,47,27,174
11,68,27,178
12,38,27,1657
14,57,27,742
16,59,27,1264
27,44,27,724
34,64,27,312
36,44,27,2697
1,11,28,1070
10,51,28,890
16,29,28,791
20,57,28,582
24,40,28,119
27,51,28,529
67,68,28,171
1,28,29,257
16,69,29,357
19,50,29,817
1,47,30,317
12,42,30,283
14,59,30,806
24,38,30,1966
26,38,30,1924
30,38,30,1501
33,49,30,291
1,53,31,257
10,38,31,2038
12,24,31,394
13,64,31,187
13,38,32,1772
17,51,32,538
20,54,32,326
26,51,32,406
28,38,32,1884
28,51,32,758
35,41,32,381
7,50,33,232
7,57,33,179
10,45,33,340
25,50,33,236
25,57,33,292
11,67,34,29
23,29,34,843
23,34,34,65
25,41,34,467
39,68,34,327
46,56,34,1418
50,59,34,74
0,38,35,307
21,47,35,280
36,51,35,2521
25,35,36,109
28,34,38,92
8,68,39,210
10,28,39,216
39,41,39,615
49,59,39,1115
5,41,40,353
10,27,40,383
54,57,40,268
19,59,41,791
21,62,41,2282
35,38,41,76
2,30,42,503
1,45,43,446
31,44,43,192
46,62,44,575
21,29,45,1282
33,38,45,1358
36,50,45,975
43,51,45,464
1,23,46,292
8,67,46,50
21,27,46,465
22,47,46,15
10,12,47,413
21,22,47,268
1,12,49,518
15,47,49,208
16,38,49,1293
1,27,53,303
5,59,53,593
20,41,53,379
37,38,53,1258
1,38,56,2125
10,23,56,277
12,45,57,73
21,38,58,2192
1,9,59,418
12,30,60,242
21,24,66,294
8,38,67,1244
36,59,67,1033
25,58,68,149
8,11,71,31
23,28,72,79
36,62,75,709
35,57,78,191
1,24,80,163
14,38,80,825
3,38,84,849
7,41,87,243
10,24,89,123
36,56,91,1374
19,38,92,821
56,72,104,525
5,38,105,658
25,38,108,186
2,9,128,151
1,56,132,735
36,38,155,928
21,56,161,732
10,56,174,627
21,72,183,234
10,72,185,103
1,72,190,212
1,10,195,109
36,46,246,137
