c1, c2, dist, nm
2, 12, 261, -47
2, 13, 353, 21
2, 14, 1044, 21
2, 15, 452, 23
2, 16, 576, 9
2, 17, 484, 8
2, 18, 768, -2
2, 19, 1040, 14
2, 20, 1337, 8
2, 21, 345, -31
2, 22, 564, 9
2, 23, 214, 18
2, 24, 133, -3
2, 25, 1871, 4
2, 26, 506, 1
2, 27, 449, 0
2, 28, 135, -1
2, 29, 969, 11
2, 30, 503, 32
2, 31, 924, 7
2, 32, 574, 2
2, 33, 512, 12
2, 34, 204, 33
2, 35, 1859, 3
2, 36, 1851, 4
2, 37, 606, 10
2, 38, 1860, 15
2, 39, 1053, -3
2, 40, 81, 33
2, 41, 1593, 7
2, 42, 107, 17
2, 43, 465, 15
2, 44, 1101, 14
2, 45, 198, 0
2, 46, 1885, 5
2, 47, 580, 16
2, 48, 1167, 5
2, 49, 770, 12
2, 50, 1854, 13
2, 51, 893, 34
2, 52, 811, 4
2, 53, 526, 20
2, 54, 1600, 1
2, 55, 919, -3
2, 56, 487, -14
2, 57, 1762, 4
2, 58, 1920, 4
2, 59, 1822, 9
2, 60, 1993, 6
2, 61, 1928, 4
2, 62, 1966, 9
2, 63, 702, 19
2, 64, 485, 18
2, 65, 332, 17
2, 66, 726, 3
2, 67, 885, -2
2, 68, 1029, 0
2, 69, 680, 9
2, 70, 569, 10
2, 71, 505, 20
2, 72, 122, -14
2, 73, 1226, -6
3, 4, 1473, -2
3, 5, 341, 40
3, 6, 777, 13
3, 7, 627, 25
3, 8, 620, 9
3, 9, 877, 1
3, 10, 1194, -11
3, 11, 634, 16
3, 12, 808, -8
3, 13, 985, -11
3, 14, 29, -49
3, 15, 1457, -2
3, 16, 444, -9
3, 17, 1407, -8
3, 18, 1429, 0
3, 19, 57, -14
3, 20, 554, 0
3, 21, 1344, -9
3, 22, 1582, -4
3, 23, 1073, -14
3, 24, 1130, -13
3, 25, 853, 17
3, 26, 1170, -9
3, 27, 1358, -11
3, 28, 1055, -1
3, 29, 844, 32
3, 30, 666, -5
3, 31, 1496, 9
3, 32, 1592, -3
3, 33, 535, -17
3, 34, 1007, -6
3, 35, 842, 7
3, 36, 1025, 6
3, 37, 411, -30
3, 38, 849, 71
3, 39, 439, -5
3, 40, 1091, -12
3, 41, 626, 17
3, 42, 965, 0
3, 43, 1321, -10
3, 44, 1681, 0
3, 45, 880, -4
3, 46, 1003, -9
3, 47, 1597, -3
3, 48, 908, -4
3, 49, 473, 12
3, 50, 848, 35
3, 51, 1515, 8
3, 52, 1051, 4
3, 53, 1543, -6
3, 54, 667, 10
3, 55, 1475, 3
3, 56, 683, -13
3, 57, 763, 12
3, 58, 913, 13
3, 59, 826, 29
3, 60, 983, 9
3, 61, 918, 6
3, 62, 952, 37
3, 63, 395, 25
3, 64, 849, -10
3, 65, 747, -21
3, 66, 1734, -4
3, 67, 616, 3
3, 68, 742, 6
3, 69, 518, 20
3, 70, 1542, -2
3, 71, 1424, -10
3, 72, 1110, -5
3, 73, 869, -3
4, 5, 1672, 0
4, 6, 1418, 0
4, 7, 2093, 3
4, 8, 1186, -2
4, 9, 613, 14
4, 10, 302, 8
4, 11, 1210, -5
4, 12, 713, -3
4, 13, 595, 2
4, 14, 1500, 5
4, 15, 35, -4
4, 16, 1037, -1
4, 17, 258, 7
4, 18, 683, 0
4, 19, 1491, -5
4, 20, 1736, 1
4, 21, 262, 7
4, 22, 161, -14
4, 23, 432, -6
4, 24, 343, 9
4, 25, 2327, -1
4, 26, 578, -7
4, 27, 282, -11
4, 28, 423, 4
4, 29, 1248, 14
4, 30, 947, -4
4, 31, 851, -3
4, 32, 167, 19
4, 33, 949, 3
4, 34, 493, -1
