c1, c2, dist, nm
2, 39, 1053, 0
2, 40, 81, 1
2, 41, 1593, 7
2, 42, 107, 9
2, 43, 465, 13
2, 44, 1101, 15
2, 45, 198, 15
2, 46, 1885, -28
2, 47, 580, 4
2, 48, 1167, -1
2, 49, 770, 16
2, 50, 1854, 16
2, 51, 893, 13
2, 52, 811, 1
2, 53, 526, 12
2, 54, 1600, 5
2, 55, 919, 6
2, 56, 487, -32
2, 57, 1762, 0
2, 58, 1920, 2
2, 59, 1822, 17
2, 60, 1993, 6
2, 61, 1928, 8
2, 62, 1966, 18
2, 63, 702, -1
2, 64, 485, 8
2, 65, 332, 9
2, 66, 726, 10
2, 67, 885, 10
2, 68, 1029, 9
2, 69, 680, -2
2, 70, 569, 11
2, 71, 505, 8
2, 72, 122, -16
2, 73, 1226, -8
3, 4, 1473, 3
3, 5, 341, 11
3, 6, 777, 1
3, 7, 627, 10
3, 8, 620, -7
3, 9, 877, -6
3, 10, 1194, -7
3, 11, 634, 12
3, 12, 808, -3
3, 13, 985, -1
3, 14, 29, 2
3, 15, 1457, -4
3, 16, 444, -6
3, 17, 1407, -11
3, 18, 1429, 3
3, 19, 57, 3
3, 20, 554, -5
3, 21, 1344, -16
3, 22, 1582, -4
3, 23, 1073, -10
3, 24, 1130, -6
3, 25, 853, 7
3, 26, 1170, 0
3, 27, 1358, -5
3, 28, 1055, 0
3, 29, 844, 14
3, 30, 666, -9
3, 31, 1496, 11
3, 32, 1592, -1
3, 33, 535, 0
3, 34, 1007, -10
3, 35, 842, 5
3, 36, 1025, -3
3, 37, 411, -10
3, 38, 849, 29
3, 39, 439, 8
3, 40, 1091, 4
3, 41, 626, 8
3, 42, 965, -2
3, 43, 1321, 12
3, 44, 1681, 4
3, 45, 880, -3
3, 46, 1003, -6
3, 47, 1597, 10
3, 48, 908, -1
3, 49, 473, 11
3, 50, 848, 10
3, 51, 1515, 16
3, 52, 1051, -7
3, 53, 1543, 3
3, 54, 667, -2
3, 55, 1475, 9
3, 56, 683, -4
3, 57, 763, 9
3, 58, 913, 2
3, 59, 826, 23
3, 60, 983, 2
3, 61, 918, 6
3, 62, 952, 5
3, 63, 395, 8
3, 64, 849, -5
3, 65, 747, -8
3, 66, 1734, -5
3, 67, 616, 3
3, 68, 742, 0
3, 69, 518, 2
3, 70, 1542, -5
3, 71, 1424, -3
3, 72, 1110, 3
3, 73, 869, 2
4, 5, 1672, -5
4, 6, 1418, -8
4, 7, 2093, 14
4, 8, 1186, 11
4, 9, 613, 14
4, 10, 302, 2
4, 11, 1210, 3
4, 12, 713, -1
4, 13, 595, -4
4, 14, 1500, 5
4, 15, 35, -4
4, 16, 1037, -1
4, 17, 258, -4
4, 18, 683, 0
4, 19, 1491, -4
4, 20, 1736, 0
4, 21, 262, -6
4, 22, 161, -5
4, 23, 432, 0
4, 24, 343, 0
4, 25, 2327, 7
4, 26, 578, 1
4, 27, 282, -5
4, 28, 423, -5
4, 29, 1248, 18
4, 30, 947, 4
4, 31, 851, 2
4, 32, 167, -1
4, 33, 949, 2
4, 34, 493, -9
4, 35, 2310, 1
4, 36, 2304, -4
4, 37, 1064, 6
4, 38, 2307, 25
4, 39, 1450, -7
4, 40, 402, 4
4, 41, 2025, 9
4, 42, 509, -1
4, 43, 363, -3
4, 44, 974, 5
4, 45, 642, -7
4, 46, 2343, -11
4, 47, 174, 0
4, 48, 1446, -2
4, 49, 1167, 3
4, 50, 2298, 14
4, 51, 792, 8
4, 52, 988, -3
4, 53, 92, -10
4, 54, 2022, -3
4, 55, 860, 5
4, 56, 930, -7
4, 57, 2203, 4
4, 58, 2381, 11
4, 59, 2261, 15
4, 60, 2453, -8
4, 61, 2388, -3
4, 62, 2424, 9
4, 63, 1130, -6
4, 64, 783, -3
4, 65, 744, 0
4, 66, 357, 6
4, 67, 1236, -5
4, 68, 1347, 5
4, 69, 1077, 3
4, 70, 178, 4
4, 71, 267, -1
4, 72, 405, 0
4, 73, 1526, -6
5, 6, 612, 4
5, 7, 475, 14
5, 8, 591, 10
5, 9, 1119, 14
5, 10, 1421, 5
5, 11, 588, 19
5, 12, 1075, -2
5, 13, 1117, -6
5, 14, 339, 5
5, 15, 1651, 6
5, 16, 714, -14
5, 17, 1558, 1
5, 18, 1484, 7
5, 19, 286, -4
5, 20, 228, 0
5, 21, 1585, -7
5, 22, 1800, 0
5, 23, 1246, 2
5, 24, 1336, 13
5, 25, 735, 1
5, 26, 1266, -6
5, 27, 1508, -10
5, 28, 1248, -6
5, 29, 747, 20
5, 30, 977, 0
5, 31, 1512, 11
5, 32, 1809, 3
5, 33, 731, -7
5, 34, 1181, -11
5, 35, 681, -3
5, 36, 1160, 4
5, 37, 672, -2
5, 38, 658, 43
5, 39, 293, -1
5, 40, 1322, -7
5, 41, 353, 4
5, 42, 1169, 1
5, 43, 1455, 3
5, 44, 1681, 3
