20, 25, 33, 16, 39, 60, 73, 59, 105, 179
9, 12, 13, 13, 25, 24, 35, 23, 22, 16
40, 17, 20, 19, 32, 45, 70, 29, 42, 29
15, 22, 19, 21, 37, 52, 71, 48, 52, 66
32, 21, 9, 13, 22, 28, 63, 26, 35, 39
42, 25, 23, 37, 69, 90, 121, 72, 105, 75
29, 19, 11, 15, 36, 55, 81, 41, 69, 55
20, 13, 20, 18, 34, 26, 37, 30, 27, 16
7, 6, 4, 2, 8, 23, 32, 28, 34, 20
15, 7, 17, 9, 39, 36, 69, 50, 58, 48
83, 40, 49, 37, 77, 86, 107, 81, 74, 36
9, 0, 5, 4, 8, 6, 17, 7, 7, 4

7, 12, 7, 3, 11, 19, 19, 20, 20, 5
32, 24, 45, 41, 45, 70, 62, 67, 48, 13
24, 26, 18, 31, 36, 43, 39, 60, 46, 13
6, 7, 13, 19, 20, 44, 25, 32, 23, 13
20, 14, 12, 17, 30, 32, 20, 40, 19, 4
13, 6, 17, 19, 28, 57, 30, 32, 25, 9
8, 3, 9, 16, 24, 39, 32, 27, 25, 9
10, 4, 9, 12, 27, 34, 28, 22, 24, 9
13, 8, 10, 22, 28, 40, 33, 46, 37, 9
32, 17, 19, 28, 36, 69, 46, 59, 38, 13
34, 29, 32, 41, 56, 97, 68, 88, 62, 21
8, 8, 10, 22, 24, 44, 38, 35, 26, 4
15, 17, 18, 25, 33, 69, 38, 59, 36, 14
15, 16, 26, 26, 29, 47, 32, 50, 32, 13
6, 6, 15, 20, 21, 47, 24, 30, 34, 12
29, 21, 10, 18, 24, 24, 31, 51, 36, 10
13, 13, 21, 25, 36, 50, 38, 43, 28, 5
14, 10, 20, 21, 25, 46, 45, 41, 23, 8
9, 3, 9, 11, 18, 25, 18, 19, 9, 6
13, 14, 14, 32, 28, 43, 36, 37, 31, 9
4, 9, 13, 11, 27, 39, 16, 28, 31, 3
54, 50, 43, 63, 81, 106, 87, 109, 70, 23
12, 15, 11, 12, 20, 38, 31, 30, 41, 14
27, 25, 23, 36, 39, 58, 52, 69, 49, 11
29, 15, 30, 36, 43, 59, 46, 47, 52, 19
20, 16, 20, 12, 24, 40, 33, 32, 28, 6
18, 8, 23, 22, 36, 46, 38, 28, 27, 12
15, 27, 18, 18, 31, 48, 33, 45, 37, 8
35, 28, 21, 29, 45, 61, 62, 53, 31, 19
11, 8, 12, 17, 20, 40, 28, 44, 28, 7
10, 8, 12, 17, 24, 41, 34, 48, 24, 10
4, 8, 3, 10, 10, 19, 15, 26, 18, 2
4, 5, 1, 10, 7, 11, 15, 18, 17, 7
19, 22, 32, 24, 44, 48, 41, 37, 43, 8
17, 13, 30, 28, 26, 43, 49, 48, 43, 14
17, 12, 18, 11, 13, 24, 27, 27, 20, 9
331, 226, 218, 272, 367, 508, 426, 524, 373, 131
13, 11, 17, 34, 33, 59, 37, 58, 31, 12
18, 20, 14, 21, 14, 25, 22, 44, 34, 14
12, 10, 11, 16, 28, 37, 27, 37, 29, 5
41, 25, 21, 36, 40, 43, 46, 45, 26, 14
4, 5, 10, 16, 14, 20, 21, 25, 20, 6
25, 28, 30, 36, 47, 56, 45, 58, 41, 15
12, 26, 13, 25, 22, 47, 42, 45, 29, 8
1, 0, 2, 1, 1, 6, 3, 7, 8, 2
21, 20, 24, 33, 30, 68, 38, 62, 32, 14
37, 19, 20, 32, 27, 36, 30, 47, 27, 11
8, 8, 12, 9, 7, 24, 18, 24, 20, 10
5, 7, 8, 17, 25, 34, 9, 18, 20, 7
19, 15, 23, 25, 40, 66, 34, 36, 36, 15
11, 14, 5, 9, 13, 19, 20, 41, 26, 10
11, 9, 11, 21, 27, 40, 24, 31, 25, 14
1, 1, 0, 4, 4, 7, 9, 5, 5, 4
18, 16, 15, 22, 31, 36, 23, 44, 28, 7
9, 5, 9, 14, 12, 26, 22, 36, 21, 6
2, 2, 3, 6, 5, 12, 6, 10, 8, 1
11, 20, 25, 32, 29, 58, 43, 58, 29, 18
7, 8, 11, 13, 19, 30, 19, 24, 25, 6
11, 11, 16, 9, 20, 32, 25, 21, 18, 7
21, 17, 11, 23, 20, 26, 27, 33, 20, 8
5, 8, 5, 8, 11, 20, 18, 19, 20, 6
14, 12, 18, 16, 19, 19, 22, 30, 26, 8
9, 15, 13, 17, 19, 22, 27, 35, 24, 13
10, 14, 16, 31, 33, 64, 36, 43, 25, 11
10, 15, 22, 26, 31, 51, 42, 45, 23, 13
17, 20, 23, 36, 33, 44, 41, 61, 32, 19
0, 2, 1, 4, 6, 8, 10, 9, 5, 4
11, 10, 16, 26, 34, 44, 30, 35, 27, 9
13, 9, 13, 21, 23, 30, 26, 35, 21, 14
14, 18, 19, 19, 31, 53, 37, 57, 24, 6
5, 6, 1, 10, 8, 16, 10, 14, 9, 7
22, 7, 14, 19, 18, 32, 36, 50, 24, 9
27, 31, 27, 28, 34, 70, 51, 60, 53, 26
3, 3, 5, 15, 21, 34, 26, 28, 10, 9]}
