10less,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150plus
0.060863792,0.043639177,0.039755144,0.043675769,0.101904901,0.140661593,0.199350744,0.142637588,0.146234108,0.081277183
0.056054812,0.027804422,0.032049829,0.039725942,0.087790719,0.135108066,0.188489567,0.144647773,0.164190595,0.124138275
0.04535951,0.024163862,0.016445136,0.023608607,0.051947162,0.074788009,0.134590997,0.120202359,0.191460046,0.317434312
0.055169838,0.041502969,0.049321809,0.050313655,0.097548723,0.15386498,0.191039893,0.140056419,0.149511161,0.071670552
0.028843609,0.015583194,0.019506294,0.023794823,0.053411291,0.081435838,0.132024513,0.128903674,0.218097506,0.298399257
0.056295541,0.043310988,0.048338677,0.055494025,0.118653454,0.168901195,0.209414165,0.139609443,0.116890119,0.043092393
0.095248737,0.048749731,0.061056883,0.056547453,0.122568699,0.155180257,0.184846719,0.107045086,0.108505663,0.060250772
0.0580481,0.034323129,0.036907272,0.046070676,0.095637078,0.143253484,0.194492446,0.138156539,0.146012017,0.10709926
0.087158809,0.037857516,0.034657829,0.036722933,0.063536633,0.11536829,0.17492164,0.131121849,0.171566867,0.147087632
0.046307096,0.034421846,0.046288344,0.049772534,0.108827489,0.139296336,0.209962758,0.142056685,0.145308345,0.077758567
0.054700055,0.035322568,0.041006839,0.044683673,0.100839899,0.149091193,0.18923473,0.129053228,0.139589672,0.116478144
0.076035765,0.045605533,0.047573544,0.058300912,0.119309262,0.16166132,0.196892135,0.121174891,0.114360794,0.059085842
0.038052558,0.021266961,0.02004903,0.022188217,0.073872242,0.161469638,0.254828787,0.167340693,0.173071218,0.067860656
0.035494033,0.029113383,0.032410497,0.032844328,0.094094562,0.136890301,0.19425608,0.143464506,0.176448995,0.124983314
0.137028501,0.061002138,0.062059792,0.063625489,0.105714563,0.134104943,0.165502016,0.115011754,0.102269106,0.053681697
0.107495405,0.076928314,0.071448022,0.055347539,0.119238886,0.160324052,0.170978283,0.101470488,0.103717067,0.033051944
