u10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a
0.204783423,0.26534484,0.307790736,0.334929178,0.386624818,0.433260988,0.546989831,0.64537788,0.75788123,0.86333016
0.175380461,0.206141028,0.348729792,0.327548807,0.381593278,0.539263295,0.680496974,0.846393736,0.925160471,0.963229905
0.216283186,0.18943773,0.236544007,0.284601168,0.312565889,0.381428043,0.46599275,0.571626035,0.673816517,0.804035848
0.199027199,0.34291039,0.358931804,0.415209666,0.496781028,0.56717572,0.676440578,0.815174039,0.868710184,0.90347151
0.224572784,0.330007065,0.414688018,0.494240401,0.558221493,0.653100775,0.757135977,0.849309223,0.91171086,0.935233727
0.330919887,0.388583015,0.437182074,0.455654459,0.501757001,0.564012751,0.659404544,0.728817902,0.827767026,0.900353257
0.201899817,0.28890477,0.370020742,0.384618642,0.430981793,0.547497263,0.667241161,0.791038971,0.874049499,0.915643757
0.24317505,0.327995583,0.346592915,0.3775472,0.416832253,0.511038509,0.629041863,0.734137706,0.831415665,0.893934867
0.303814807,0.3725,0.411349311,0.434209782,0.464701901,0.534124578,0.61684972,0.716853501,0.786104305,0.846952249
0.167043665,0.19580986,0.270758668,0.333518247,0.40872284,0.490712443,0.610554792,0.751792569,0.866168175,0.893258981
0.185359589,0.233266703,0.304556946,0.317268823,0.357281491,0.476267387,0.598824826,0.714521233,0.82191093,0.880417716
0.078371186,0.075997371,0.103312951,0.126268737,0.121131088,0.156104741,0.180811228,0.203343712,0.260005161,0.430235876
0.333238556,0.353858564,0.40837404,0.431073673,0.481844614,0.537833613,0.646438696,0.723583569,0.829536263,0.883844953
0.232045768,0.330768291,0.389403002,0.440125814,0.46533972,0.577261395,0.687627628,0.790336027,0.887892377,0.924422474
0.325163322,0.299787426,0.372672036,0.387186704,0.425644825,0.446458509,0.512782508,0.602532986,0.720446209,0.846886651
0.303814807,0.3725,0.411349311,0.434209782,0.464701901,0.534124578,0.61684972,0.716853501,0.786104305,0.846952249
0.212687549,0.302068261,0.315832575,0.343955113,0.405021024,0.479253882,0.570293003,0.663646305,0.720821587,0.840118045
0.284078281,0.404486572,0.440996661,0.476014949,0.476787669,0.546816855,0.617196274,0.709346329,0.751338179,0.791811675
0.303478838,0.355142846,0.452104725,0.482222311,0.535565044,0.609231742,0.707717739,0.787391196,0.871405883,0.919325833
0.468769488,0.513380643,0.540748393,0.566392303,0.609873298,0.635796483,0.700591424,0.783410245,0.849796587,0.898567254
0.173565103,0.221186354,0.291552601,0.349338835,0.422211896,0.52049151,0.672028427,0.787282334,0.875415464,0.934540463
0.412101253,0.403412155,0.479438286,0.500531581,0.573122417,0.611302365,0.677457299,0.765631493,0.832065305,0.898580618
0.259801852,0.245262391,0.305793048,0.371218928,0.389416947,0.490469229,0.601044567,0.720597536,0.805234472,0.879613339
0.323037404,0.273928374,0.337326835,0.330527612,0.358764826,0.411037354,0.506621585,0.607704011,0.721991157,0.841486568
0.126416476,0.127556538,0.192034248,0.247979401,0.256261068,0.29774357,0.330861181,0.385195737,0.439802059,0.564669902
0.289556325,0.268966063,0.365896054,0.372340426,0.42887641,0.543483888,0.609225102,0.718337535,0.811021783,0.880411715
0.292629448,0.262345358,0.339086128,0.370797508,0.380191091,0.438127153,0.502172526,0.56205025,0.631968645,0.790301599
0.267235572,0.375985028,0.384350521,0.437850253,0.501262336,0.617760484,0.727645589,0.850292735,0.918555363,0.933249158
0.245379907,0.33565996,0.374567679,0.400609516,0.459942245,0.543784058,0.684540157,0.802362271,0.866573772,0.928301207
0.349474706,0.422105707,0.4939984,0.505545993,0.557266383,0.620048519,0.752487939,0.816554899,0.910307538,0.952618072
0.082081467,0.11526924,0.168610817,0.205709816,0.233996698,0.275173396,0.371226519,0.474306461,0.557092802,0.687424272
0.294020192,0.320881391,0.363792619,0.413119079,0.432725459,0.52783261,0.627180783,0.754624912,0.863050512,0.924056777
0.174892885,0.226070742,0.249601185,0.285550578,0.312268501,0.390378479,0.518055827,0.634338086,0.769160068,0.885354331
0.273228681,0.317433234,0.393960924,0.416167665,0.474781487,0.552703002,0.686749667,0.801899441,0.886567835,0.923611111
0.371531026,0.41067982,0.415609381,0.550121337,0.458403598,0.486430424,0.612859674,0.720295506,0.817211235,0.911465812
0.278046299,0.320868033,0.324666465,0.348007924,0.426842824,0.527793489,0.648868106,0.753673036,0.863973676,0.940231101
0.313586303,0.420752614,0.466885144,0.529987471,0.596010899,0.674721828,0.75977424,0.844476096,0.895383629,0.935129149
0.340653978,0.460754136,0.488831785,0.530814101,0.560330987,0.692799071,0.739785696,0.837224384,0.901046622,0.902467232
