10less,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150plus
0.254038078,0.089628153,0.09464568,0.105711733,0.107017664,0.153343872,0.127912571,0.04508901,0.01567118,0.006942058
0.284754673,0.085426402,0.080315421,0.081629673,0.141209112,0.109813084,0.128796729,0.051547897,0.034462617,0.002044393
0.285084237,0.132927582,0.098879774,0.102584458,0.121548911,0.160271677,0.083267178,0.008644262,0.005909853,0.000882068
0.258665322,0.104353673,0.091208606,0.093024038,0.14499916,0.124794083,0.124995798,0.03792234,0.016910405,0.003126576
0.208622605,0.090391558,0.107608998,0.1197584,0.157872813,0.144404332,0.100735907,0.042141072,0.021035823,0.007428492
0.291687828,0.098696462,0.084137464,0.084024604,0.124372214,0.142373455,0.104113763,0.038711134,0.025506461,0.006376615
0.259619084,0.09926895,0.142843401,0.096287033,0.15977299,0.124182378,0.091862255,0.020777222,0.002212389,0.003174298
0.280954689,0.128967773,0.103101527,0.093530409,0.127998546,0.113823601,0.084019869,0.040707536,0.022534529,0.004361522
0.174892133,0.078299545,0.089396536,0.091021928,0.168213251,0.15556475,0.144911047,0.055987351,0.032685147,0.009028311
0.171146177,0.082365181,0.080761228,0.084055835,0.155670192,0.145092769,0.166551066,0.065588694,0.037844633,0.010924224
0.208853172,0.09998668,0.110953248,0.113439595,0.134706744,0.155751898,0.120410247,0.037472806,0.013053323,0.005372286
0.182229483,0.070126932,0.075530979,0.051275606,0.091240417,0.158476813,0.144401156,0.091491768,0.079803946,0.055422898
0.262715548,0.112882191,0.092812636,0.077742356,0.151644689,0.1252717,0.129908709,0.029560933,0.017098971,0.000362266
0.206687152,0.119329821,0.092259292,0.112891425,0.147497805,0.158106526,0.123280656,0.021217442,0.015437518,0.003292362
0.171868827,0.103358356,0.069616752,0.083840379,0.126037139,0.171236665,0.15772422,0.060845516,0.040142236,0.015329909
0.195675862,0.068503756,0.071428571,0.055198715,0.138154499,0.157223146,0.160922177,0.08286976,0.05190113,0.018122383
0.226003131,0.13018044,0.081074401,0.109335091,0.162148801,0.137266211,0.102084535,0.040949164,0.010958227,0
0.211927602,0.07554523,0.076023008,0.074964401,0.131023758,0.152214644,0.147305703,0.066420595,0.046494417,0.018080642
0.304005301,0.122956855,0.103445737,0.115667796,0.107716095,0.137903107,0.078412605,0.013547342,0.008319835,0.008025328
0.380184556,0.097037397,0.116561438,0.074696455,0.148227295,0.094511899,0.06624575,0.015055852,0.006702283,0.000777076
0.180636972,0.078159542,0.084278237,0.098155834,0.163051075,0.172792492,0.133769772,0.059104588,0.026271875,0.003779613
0.219965847,0.107306041,0.100198458,0.094752388,0.149720774,0.146813126,0.126367287,0.038168644,0.014630544,0.002076891
0.204147465,0.078341014,0.092281106,0.091474654,0.150748848,0.168087558,0.111175115,0.062788018,0.027304147,0.013652074
0.213667943,0.073160357,0.092442932,0.101517085,0.146887849,0.157096271,0.141169242,0.04248783,0.023961435,0.007609055
0.249739448,0.135356957,0.099617857,0.082204273,0.151207226,0.149383359,0.087936425,0.03187424,0.010161542,0.002518673
0.233442898,0.08797818,0.077278131,0.09658018,0.156864116,0.149451011,0.113574376,0.053640115,0.029232813,0.001958179
0.220170018,0.058345567,0.037827319,0.049605681,0.085862552,0.11023864,0.146154109,0.107507425,0.101567034,0.082721655
0.204841468,0.073016708,0.084725694,0.05709775,0.162610183,0.161294567,0.161820813,0.039073806,0.0514406,0.004078411
0.214273634,0.086645245,0.115508202,0.098314448,0.144032922,0.150966796,0.132138227,0.046000338,0.007384858,0.004735329
0.193832132,0.066165042,0.046206019,0.054295605,0.127667091,0.156104281,0.173343225,0.099971739,0.059629787,0.022785078
0.213667943,0.073160357,0.092442932,0.101517085,0.146887849,0.157096271,0.141169242,0.04248783,0.023961435,0.007609055
0.341612432,0.09563023,0.099482003,0.080355957,0.128038252,0.117545491,0.075175986,0.03373622,0.018594767,0.009828663
0.349804518,0.09372285,0.073957428,0.0714596,0.117253113,0.12054735,0.100564726,0.035403997,0.023494063,0.013792354
0.275897436,0.125169231,0.102605128,0.102605128,0.141128205,0.136410256,0.079630769,0.020841026,0.013169231,0.00254359
0.190592607,0.072071191,0.105710933,0.123215333,0.151965578,0.16643849,0.137394876,0.035302171,0.012419323,0.004889497
0.207796526,0.087773252,0.098994265,0.087690134,0.140802926,0.164741086,0.134319674,0.049871166,0.017621145,0.010389826
0.150930723,0.082901554,0.083765112,0.098349645,0.150115141,0.166474765,0.142295145,0.059201689,0.045144886,0.020821339
