10less,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150plus
0.07656048,0.088839048,0.093324717,0.071162472,0.134437011,0.146810614,0.164658253,0.094693226,0.070630274,0.058883905
0.142206779,0.111481963,0.080280338,0.064800361,0.095721125,0.099548664,0.110515281,0.067086433,0.087223467,0.14113559
0.093119405,0.108822637,0.086860871,0.074836899,0.138863602,0.146829009,0.163063268,0.070664543,0.078098923,0.038840844
0.062950204,0.089536138,0.087256847,0.086073703,0.13677489,0.162438668,0.164857153,0.090510492,0.069266103,0.050335804
0.050770215,0.069252501,0.068899366,0.060457548,0.113828549,0.13239196,0.164632168,0.109819997,0.115718294,0.114229404
0.081567654,0.089522556,0.086427322,0.081702229,0.145864797,0.151098285,0.169056626,0.081119069,0.065134501,0.048506961
0.135656267,0.129810977,0.10100205,0.070371214,0.135238746,0.11299628,0.130570106,0.069801867,0.059098155,0.055454338
0.133852732,0.145690437,0.107561253,0.101119186,0.134980911,0.129102934,0.117968297,0.057537136,0.043729204,0.02845791
0.059760956,0.079226242,0.079256578,0.081713754,0.136712035,0.170768702,0.175581936,0.091370558,0.080732906,0.044876332
0.070413146,0.092078133,0.103069529,0.092736997,0.15298814,0.163452446,0.155786373,0.073343152,0.057266879,0.038865204
0.071446078,0.072867647,0.080514706,0.084779412,0.139926471,0.149436275,0.168627451,0.100245098,0.085245098,0.046911765
0.053585748,0.087849064,0.085225268,0.080157299,0.137168738,0.156709285,0.163907083,0.08700868,0.083801105,0.06458773
0.049046865,0.086434885,0.074616603,0.075094915,0.12862595,0.159676343,0.178709157,0.096678724,0.09605094,0.055065618
0.051990474,0.079962534,0.072883622,0.066576611,0.119527257,0.138180004,0.165163653,0.108377027,0.108311133,0.089027685
0.080046942,0.151314074,0.085146765,0.069470604,0.103141027,0.112978471,0.120454348,0.082785199,0.096259164,0.098403408
0.055015497,0.096435616,0.082135813,0.075490749,0.127735512,0.169155631,0.166150089,0.08798253,0.086127548,0.053771015
0.047231429,0.074285209,0.067921693,0.059976137,0.098599143,0.131954572,0.15901719,0.105271996,0.128154138,0.127588493
0.064549534,0.080720108,0.099360081,0.078383474,0.144897905,0.177531133,0.17142402,0.078410026,0.06709859,0.037625129
0.086273885,0.09410828,0.087292994,0.087563694,0.128901274,0.143566879,0.156289809,0.087420382,0.07183121,0.056751592
0.051629769,0.066171064,0.079609509,0.081835634,0.135242219,0.15768728,0.180551017,0.094099747,0.07993628,0.073237481
0.138030851,0.168609395,0.103158876,0.064770564,0.102731476,0.109103625,0.114756965,0.069763376,0.064323736,0.064751136
0.063759797,0.079196781,0.08057934,0.073895383,0.131400294,0.149068441,0.170836591,0.102109117,0.088474227,0.060680028
0.056831112,0.058090865,0.060224317,0.051202861,0.104356307,0.152409785,0.187337451,0.115429941,0.11573472,0.09838264
0.066875975,0.09297792,0.100057457,0.076623163,0.146125749,0.155955019,0.16580481,0.078244275,0.066034638,0.051300993
0.037209302,0.061096346,0.067973422,0.062325581,0.125182724,0.145149502,0.187209302,0.11744186,0.112325581,0.084086379
0.046390241,0.066995093,0.069125955,0.06681915,0.126952476,0.140969249,0.18565871,0.119758372,0.105878443,0.07145231
0.09106138,0.099023349,0.095537158,0.091100188,0.154200893,0.162311623,0.155222819,0.07092038,0.05491236,0.025709851
0.187557945,0.142777675,0.105599852,0.078713147,0.110050065,0.107268682,0.129241609,0.057574634,0.044131281,0.03708511
