,Alameda,Allegheny,Allen,Arapoe,Baltimore City,Bernalillo,Bexar,Clark,Collin,Cook,Cuyahoga,Dallas,Dane,Davidson,Denver,District of Columbia,Douglas,Durham,Duvall,El Paso CO,El Paso TX,Erie,Essex,Fayette,Franklin,Fresno,Fulton,Guilford,Hamilton,Harris,Hennepin,Hillsborough,Hudson,Jackson,Jefferson,Kern,King,Lancaster,Los Angeles,Lubbock,Lucas,Maricopa,Marion,Mecklenburg,Miami-Dade,Milwaukee,Multnomah,New York,Nueces,Oklahoma,Orange_CA,Orange_FL,Orleans Parish,Philadelphia,Pima,Pinellas,Ramsey,Riverside,Sacramento,San Diego,San Francisco,San Joaquin,Santa Clara,Sedgwick,Shelby,St. Louis City,Suffolk,Tarrant,Travis,Tulsa,Virginia Beach City,Wake,Wayne,Webb
10,642,576,689,567,422,429,253,301,241,1148,809,387,777,1116,596,562,411,556,732,315,115,515,224,368,634,147,1037,980,996,1063,719,548,647,681,862,136,599,237,1595,208,591,446,944,498,725,722,866,869,85,418,804,1232,727,823,157,969,393,284,301,728,261,151,571,291,330,238,228,249,123,193,101,253,668,13
11,658,546,701,587,384,421,227,249,287,1216,795,400,841,1107,639,624,471,465,680,411,114,500,245,397,628,157,1008,1227,887,919,784,615,642,660,907,110,550,253,1585,156,695,408,997,532,915,647,772,987,77,433,875,1361,783,777,165,888,377,279,324,682,289,155,581,303,374,272,207,265,125,181,95,208,680,12
12,741,571,718,556,467,410,240,208,326,1226,871,391,928,1114,625,573,539,420,574,491,112,482,318,425,595,167,1029,1274,907,966,808,677,730,759,944,103,501,219,1645,90,741,402,941,584,943,538,729,980,97,412,878,1584,789,683,163,873,388,240,292,683,272,129,549,312,366,285,259,255,101,218,79,191,662,15
13,722,592,721,595,568,444,218,209,339,1273,945,382,1103,1087,642,637,423,361,671,464,111,449,362,434,629,157,887,1324,877,947,872,733,787,651,849,95,516,207,1629,98,594,435,989,621,1049,499,754,877,78,495,1008,1718,818,805,146,872,409,239,251,710,266,103,491,333,402,233,203,281,97,233,62,209,599,17
14,705,598,683,686,628,413,254,192,362,1124,979,402,1034,1214,677,550,362,286,728,500,102,356,401,406,673,163,916,1556,850,951,974,791,692,628,810,123,472,246,1709,84,684,466,1119,668,1129,448,776,854,70,479,1084,1713,785,806,133,792,452,255,267,704,270,125,449,317,358,241,210,303,116,207,69,200,594,19
15,756,628,684,645,569,359,228,195,363,1195,1048,440,1043,1160,691,625,300,273,676,481,103,413,446,452,765,211,835,1455,858,1112,957,819,697,521,761,115,561,234,1691,82,772,504,1123,751,1141,482,841,906,49,465,1208,1592,696,829,110,892,431,266,283,766,218,119,477,287,337,215,186,282,108,215,84,213,639,23
16,804,566,689,637,573,404,254,204,285,1163,1060,379,1054,1069,664,780,253,365,610,471,83,550,509,575,793,159,767,1427,870,1204,963,862,819,491,796,97,653,204,1492,73,827,541,1138,736,1230,605,753,962,95,440,1253,1428,724,856,141,1026,357,290,221,688,262,135,477,317,289,267,195,219,132,210,87,154,682,13
17,869,561,678,630,572,391,246,224,285,1224,888,363,953,1010,730,999,287,385,764,452,91,634,568,637,680,173,782,1185,1014,1371,896,724,923,494,792,117,780,178,1465,61,831,537,1070,766,1308,607,612,932,56,498,1236,1505,667,826,150,1087,424,309,221,657,277,135,454,303,260,258,192,212,159,194,66,180,728,15
18,891,544,729,558,570,371,272,263,271,1287,835,388,858,1100,709,704,667,391,793,349,98,611,630,596,660,175,757,1049,1250,1209,849,695,869,983,937,138,660,220,1401,79,852,508,1081,756,1120,745,558,911,71,551,1149,1494,830,838,139,1033,457,289,201,685,337,128,475,325,220,246,227,249,108,240,60,185,700,12
19,903,551,692,560,505,458,233,265,302,1414,839,344,787,1013,595,727,826,444,742,344,136,614,675,621,725,188,734,1000,1132,1209,783,654,938,1201,1010,176,631,345,1499,64,786,448,1110,752,1124,708,510,824,58,517,1172,1516,829,839,141,1065,394,297,261,672,321,189,557,321,229,255,311,220,87,243,58,176,734,8
20,948,542,626,551,546,423,242,308,246,1442,792,381,787,838,609,818,812,438,655,272,102,596,674,569,688,210,835,962,1165,1243,784,716,932,1188,1053,118,1080,301,1491,76,858,431,1037,836,1116,853,521,868,52,517,1232,1446,930,792,160,1002,434,248,261,625,332,268,491,309,190,243,260,281,83,243,70,176,722,8
21,928,619,639,550,579,463,224,312,307,1422,742,327,801,978,715,991,646,479,681,276,139,651,653,499,803,280,751,954,1515,1202,706,665,963,1019,888,101,963,269,1632,96,986,473,849,840,1118,898,551,893,60,471,1090,1414,975,823,154,976,457,274,346,715,358,241,481,324,201,264,244,277,82,242,77,150,612,12
22,891,615,605,517,496,429,247,245,272,1408,807,319,725,975,746,831,930,454,711,258,113,719,661,505,812,298,809,955,1236,1180,703,745,805,757,1195,159,844,225,1737,91,1016,451,851,953,1165,996,507,930,103,453,1180,1487,974,858,148,1003,446,261,372,747,361,182,591,369,205,260,314,262,96,290,47,145,635,11
23,982,634,665,564,562,373,237,258,307,1640,765,330,837,979,821,828,978,528,706,254,122,682,582,580,744,340,854,1017,1176,1239,682,711,800,776,1438,154,739,255,1687,118,866,439,819,975,1170,1033,667,820,66,395,1113,1402,959,818,149,1049,410,324,288,684,358,175,549,396,190,304,277,188,98,296,51,130,654,3
24,925,624,616,688,544,413,278,262,283,1331,836,309,910,981,780,858,867,569,725,267,113,698,601,544,793,408,849,1010,1373,1086,925,734,824,735,1375,140,894,266,1642,97,849,461,738,1022,1161,791,548,1186,72,387,1140,1563,877,806,148,895,410,283,288,750,333,186,560,402,230,330,280,208,104,292,65,144,694,6
25,998,710,705,711,551,394,237,218,221,1337,853,367,808,1034,673,721,856,516,759,267,110,581,739,712,733,397,775,1157,1093,1055,1007,767,746,832,1331,133,771,459,1731,86,762,468,790,998,1170,730,583,1279,68,447,1162,1533,878,1004,187,960,457,326,333,644,377,259,575,372,222,332,265,211,97,286,66,153,599,6
26,982,763,683,753,488,424,256,227,269,1505,819,369,935,1020,764,816,958,513,818,244,80,605,741,709,688,400,746,1119,1116,1176,932,645,771,736,1433,155,768,346,1651,89,791,464,763,998,1174,719,501,1367,65,403,1123,1467,1008,958,168,970,436,324,255,866,303,181,517,311,238,332,303,244,107,260,58,103,698,4
27,928,756,592,773,502,448,256,265,226,1357,834,346,865,1014,730,848,941,555,827,248,107,656,711,675,826,327,766,1285,1232,1059,976,681,684,789,1514,143,670,337,1688,112,852,456,1102,723,1254,684,477,1072,93,427,1107,1529,880,1092,181,998,514,313,209,828,408,158,540,356,226,292,301,218,111,290,59,126,808,9
28,951,704,615,801,539,417,278,233,224,1271,775,351,818,968,696,805,968,566,676,412,88,737,647,749,913,377,893,1075,1107,1019,931,729,794,1089,1388,187,675,214,1660,104,1005,456,1138,781,1168,643,541,1062,121,512,1118,1438,1032,1035,200,1020,427,326,234,931,364,141,568,332,227,315,279,253,115,317,53,134,736,3
29,983,671,582,804,504,407,277,201,244,1355,868,345,827,1069,764,1042,776,609,614,545,101,636,656,680,865,312,942,1403,980,1155,898,578,936,1020,1280,169,634,271,1632,89,1103,446,1146,625,1126,665,508,970,95,680,1084,1484,1171,932,138,1087,509,332,239,848,386,182,484,356,159,362,259,212,149,311,60,128,716,4
30,976,703,681,828,555,400,273,300,187,1319,939,349,687,976,696,863,929,506,635,496,114,778,695,688,899,365,1072,1171,1132,1025,896,567,1103,970,1417,193,625,322,1626,106,1055,452,1036,636,1133,707,518,1054,68,744,1030,1580,1166,942,145,935,409,309,272,833,381,171,510,362,214,416,204,209,114,292,61,133,767,9
31,1013,831,605,697,609,435,244,263,211,1184,1018,339,702,1129,632,880,869,580,604,481,131,670,629,812,912,356,1015,1144,1212,905,839,756,885,1102,1380,210,700,416,1760,74,1083,501,1082,643,1147,699,545,907,84,715,1002,1458,1254,1209,132,911,448,276,219,906,391,201,622,285,179,349,209,173,104,282,51,87,725,10
32,1039,711,607,921,668,446,254,215,252,1276,953,390,707,990,694,831,871,597,634,520,127,690,649,707,893,342,1004,1144,1039,1086,804,810,838,1022,1371,195,612,523,1588,94,933,475,1067,658,1047,729,570,1012,52,752,1325,1405,1247,1095,132,928,504,332,263,812,368,168,535,302,245,347,256,214,152,324,66,128,670,2
33,958,746,618,807,587,513,299,189,260,1192,976,366,696,989,733,884,878,607,629,499,95,677,652,719,881,354,975,1066,1139,1119,1096,614,877,1188,1493,184,924,369,1560,122,1091,432,991,668,1201,662,488,951,76,860,1452,1273,1073,871,105,876,539,327,254,856,339,160,531,343,258,348,234,189,114,325,66,164,691,7
34,1133,730,700,808,550,518,229,202,271,1256,980,357,777,1101,760,829,901,513,654,484,94,657,614,708,842,435,886,1154,1118,1127,1093,547,885,1048,1449,196,1066,376,1583,145,1173,428,1006,571,1247,683,542,900,59,888,1393,1265,1026,905,115,824,529,307,326,808,371,243,595,336,266,291,170,208,142,257,53,144,644,6
35,1033,736,651,766,572,439,267,216,322,1384,934,361,847,954,780,1003,749,619,647,494,92,660,657,772,820,315,811,1350,1137,1044,1107,559,838,917,1322,175,759,674,1706,142,1170,472,935,828,1132,704,489,939,57,927,1440,1333,1002,859,141,858,536,358,321,805,312,251,645,354,224,274,189,184,109,313,54,175,646,5
36,1016,808,641,772,667,551,276,186,261,1249,895,356,877,1048,729,996,625,626,736,362,139,654,693,730,877,340,933,1388,1244,1048,1116,529,746,1020,1242,172,739,616,1642,124,1050,435,945,843,1160,683,529,1008,80,856,1378,1318,819,1012,149,974,462,355,387,753,426,268,596,357,250,305,187,198,107,300,48,144,704,5
