,Alameda,Allegheny,Allen,Arapoe,Baltimore City,Bernalillo,Bexar,Clark,Collin,Cook,Cuyahoga,Dallas,Dane,Davidson,Denver,District of Columbia,Douglas,Durham,Duvall,El Paso CO,El Paso TX,Erie,Essex,Fayette,Franklin,Fresno,Fulton,Guilford,Hamilton,Harris,Hennepin,Hillsborough,Hudson,Jackson,Jefferson,Kern,King,Lancaster,Los Angeles,Lubbock,Lucas,Maricopa,Marion,Mecklenburg,Miami-Dade,Milwaukee,Multnomah,New York,Nueces,Oklahoma,Orange_CA,Orange_FL,Orleans Parish,Philadelphia,Pima,Pinellas,Ramsey,Riverside,Sacramento,San Diego,San Francisco,San Joaquin,Santa Clara,Sedgwick,Shelby,St. Louis City,Suffolk,Tarrant,Travis,Tulsa,Virginia Beach City,Wake,Wayne,Webb
22,792,873,374,801,930,531,338,190,234,1318,696,413,841,593,581,575,554,469,880,683,141,555,455,677,893,355,828,785,806,1160,652,504,696,815,1242,108,1005,462,1404,467,921,473,918,1065,1381,956,990,1352,81,424,1043,868,823,785,278,725,434,322,264,893,493,129,562,245,325,363,213,265,150,227,152,212,469,13
23,781,923,432,843,906,575,433,200,257,1277,695,359,822,690,554,589,540,498,825,636,102,741,470,605,842,377,703,933,704,1090,632,522,722,972,1161,102,890,491,1391,552,913,500,850,1122,1541,919,906,1268,81,412,1170,889,775,762,265,746,462,315,260,911,452,177,635,270,284,319,231,317,189,195,151,211,500,2
24,711,893,356,853,746,772,435,196,272,1303,779,422,856,619,554,613,530,498,763,591,126,696,436,611,849,403,640,886,761,1197,712,522,657,990,1150,90,830,460,1391,507,942,464,777,1111,1403,907,869,1305,80,444,1446,923,916,694,362,634,618,305,267,862,461,205,667,254,380,339,244,309,177,219,153,239,541,2
25,731,926,402,744,825,847,382,232,273,1339,672,369,921,653,581,559,492,433,723,711,128,700,438,645,979,353,871,848,810,1181,644,422,684,1045,1043,126,884,398,1287,546,997,485,931,1202,1175,1057,782,1247,56,397,1371,1042,1034,634,348,720,553,328,290,897,460,204,589,260,400,318,211,270,164,209,195,231,539,6
26,680,959,441,759,870,785,389,262,252,1378,746,399,907,680,688,627,533,422,800,586,125,691,585,471,916,290,984,885,772,1177,671,573,718,859,1111,112,922,454,1312,551,947,452,1149,1009,1111,1052,743,1348,63,356,1392,967,899,621,385,684,573,386,292,750,464,135,712,260,350,415,169,294,175,231,183,254,510,19
27,715,978,407,735,841,686,359,238,239,1275,853,383,873,667,706,607,531,401,923,638,117,721,596,456,1043,295,1148,886,864,1213,619,507,711,883,1025,116,899,444,1285,646,998,428,1263,881,1167,931,719,1331,56,318,1300,902,1033,589,477,674,559,346,251,851,492,157,649,268,408,335,227,301,162,288,189,259,536,10
28,702,964,343,783,897,758,328,214,278,1283,798,327,925,560,664,600,527,462,768,593,104,723,540,615,1000,335,936,1099,781,1202,742,462,807,1012,955,101,876,454,1352,598,1072,454,1320,784,1217,1027,790,1270,45,360,1170,1096,1024,758,390,888,545,305,255,751,428,197,660,240,442,378,223,296,173,238,166,215,475,15
29,694,936,325,839,823,797,335,236,272,1274,832,336,874,589,699,649,627,510,829,590,121,802,441,690,912,294,786,1132,941,1307,847,524,527,1038,978,114,1002,601,1298,504,1044,399,1427,755,1341,1042,743,1267,61,339,1052,970,1072,698,412,715,650,344,230,731,432,210,704,234,388,373,245,343,146,225,148,232,451,13
30,664,997,262,811,917,851,332,312,231,1474,755,405,758,736,668,580,645,560,798,629,108,795,424,659,819,375,833,1164,933,1230,894,627,687,686,972,113,1066,658,1379,771,814,412,1233,813,1338,969,722,1282,48,322,1098,1036,1044,681,397,652,661,316,265,757,475,216,661,226,335,378,241,338,121,230,144,232,523,6
31,701,994,296,882,782,866,304,200,218,1475,840,392,765,697,626,583,715,528,809,623,116,812,480,765,944,342,918,1045,960,1247,869,587,827,758,906,135,1213,589,1267,910,704,370,1107,1003,1505,976,743,1214,55,317,1122,889,931,1004,348,584,635,304,223,701,506,240,708,173,323,352,239,280,142,215,157,233,446,4
