county1, county2, distance, netmig
11,46,1622,2
11,52,446,2
12,24,394,2
12,69,592,2
13,30,704,2
13,33,458,2
13,42,252,2
13,58,1894,2
13,62,1925,2
14,31,1525,2
14,43,1350,2
14,52,1079,2
14,57,742,2
14,64,878,2
15,39,1425,2
15,56,926,2
15,64,754,2
16,35,1287,2
16,54,1071,2
16,70,1121,2
17,58,2321,2
18,31,169,2
18,32,837,2
18,42,700,2
18,61,2306,2
19,65,757,2
19,67,582,2
19,73,821,2
20,22,1876,2
20,31,1456,2
20,42,1251,2
20,44,1609,2
20,51,1499,2
21,65,676,2
22,25,2435,2
22,33,1070,2
22,52,1150,2
22,60,2554,2
22,64,934,2
23,37,678,2
23,45,389,2
24,30,636,2
24,40,119,2
24,41,1688,2
24,62,2081,2
24,64,500,2
24,67,935,2
24,69,751,2
25,29,1474,2
25,68,1331,2
26,66,935,2
27,37,969,2
27,65,612,2
28,52,702,2
28,57,1779,2
28,63,706,2
30,44,1521,2
30,47,1027,2
30,65,466,2
31,47,1008,2
32,35,2433,2
32,59,2394,2
33,68,630,2
34,48,1000,2
34,63,643,2
34,73,1069,2
35,42,1801,2
36,65,1683,2
37,44,1398,2
37,60,1388,2
37,67,554,2
39,42,965,2
39,52,741,2
39,56,915,2
39,61,1128,2
39,65,723,2
40,41,1672,2
40,60,2063,2
40,61,1998,2
40,70,526,2
40,71,484,2
42,60,1947,2
43,54,1787,2
43,60,2299,2
45,52,903,2
46,53,2393,2
46,68,1693,2
46,71,2359,2
47,60,2569,2
47,64,949,2
48,56,1221,2
48,70,1403,2
49,60,1392,2
50,55,2107,2
50,70,2345,2
51,54,1825,2
51,57,2069,2
51,58,2381,2
52,55,458,2
52,59,1589,2
52,60,1929,2
52,63,682,2
52,66,1346,2
53,61,2455,2
53,68,1438,2
54,64,1275,2
55,58,2328,2
55,62,2340,2
56,60,1592,2
60,66,2695,2
60,67,1455,2
61,73,1449,2
63,70,1176,2
63,71,1048,2
65,70,796,2
66,67,1572,2
70,72,542,2
70,73,1490,2
0,44,2546,3
1,41,1850,3
1,69,914,3
2,37,606,3
2,50,1854,3
3,17,1407,3
3,34,1007,3
3,48,908,3
3,55,1475,3
4,41,2025,3
4,50,2298,3
4,53,92,3
4,58,2381,3
4,62,2424,3
4,66,357,3
5,27,1508,3
5,31,1512,3
5,44,1681,3
5,54,359,3
6,15,1387,3
6,66,1764,3
7,44,2156,3
8,9,765,3
8,52,448,3
8,59,1166,3
8,64,405,3
8,73,410,3
9,50,1719,3
10,53,354,3
11,32,1367,3
12,32,804,3
12,35,1648,3
12,51,1099,3
12,55,1110,3
12,61,1700,3
12,62,1740,3
12,63,563,3
12,70,830,3
13,37,623,3
13,39,870,3
13,60,1960,3
13,63,598,3
14,20,557,3
14,66,1759,3
15,16,1023,3
15,18,649,3
16,33,184,3
16,48,941,3
16,61,1352,3
17,37,1016,3
17,41,1909,3
17,52,761,3
17,57,2098,3
17,68,1160,3
18,19,1420,3
18,25,2216,3
18,49,979,3
18,52,491,3
18,58,2310,3
19,35,818,3
20,58,968,3
21,48,1483,3
21,73,1550,3
22,31,999,3
22,43,524,3
22,48,1604,3
23,40,251,3
23,49,735,3
23,52,634,3
23,60,2056,3
23,73,1115,3
24,35,1967,3
24,60,2110,3
24,61,2045,3
24,73,1257,3
26,67,744,3
26,70,516,3
27,41,1859,3
27,54,1844,3
27,70,212,3
28,32,564,3
28,54,1600,3
30,61,1511,3
30,70,1070,3
31,41,1827,3
31,52,482,3
32,44,1110,3
32,49,1314,3
32,54,2163,3
32,55,1012,3
32,56,1005,3
32,67,1393,3
34,35,1831,3
34,41,1535,3
34,49,673,3
34,58,1921,3
35,63,1190,3
35,73,1254,3
41,66,2319,3
42,54,1523,3
43,48,1116,3
43,58,2232,3
43,65,580,3
43,67,957,3
43,72,504,3
45,54,1500,3
45,70,763,3
47,48,1618,3
48,71,1244,3
48,72,1289,3
51,61,2376,3
52,62,1885,3
53,54,2103,3
53,58,2447,3
53,62,2492,3
53,63,1208,3
55,65,863,3
56,66,1113,3
58,68,1449,3
67,73,367,3
1,26,522,4
1,31,876,4
1,52,911,4
1,60,2262,4
2,18,768,4
2,66,726,4
3,20,554,4
4,6,1418,4
4,13,595,4
4,18,683,4
4,37,1064,4
4,64,783,4
6,50,1168,4
8,18,895,4
8,35,1272,4
8,47,1349,4
9,11,796,4
9,18,866,4
9,61,1782,4
10,17,401,4
10,40,104,4
10,49,942,4
10,58,2093,4
11,50,1212,4
12,18,978,4
12,26,694,4
12,68,993,4
13,25,1818,4
13,32,756,4
13,61,1895,4
14,68,764,4
15,59,2241,4
15,67,1209,4
16,39,614,4
16,47,1155,4
16,57,1202,4
16,58,1344,4
16,60,1416,4
16,67,592,4
17,32,417,4
17,35,2222,4
17,54,1895,4
17,62,2355,4
18,59,2060,4
19,68,700,4
20,23,1304,4
20,47,1891,4
20,60,1005,4
20,66,2055,4
21,52,1075,4
21,63,1046,4
22,50,2418,4
22,54,2154,4
22,55,1009,4
22,58,2481,4
22,69,1214,4
23,35,1897,4
24,52,789,4
24,57,1863,4
24,68,1065,4
26,62,2094,4
27,33,823,4
27,49,987,4
28,37,652,4
28,61,1973,4
28,71,399,4
29,50,1337,4
29,58,1590,4
30,66,1131,4
30,68,1040,4
30,69,627,4
31,58,2351,4
31,59,2072,4
32,48,1611,4
33,43,788,4
33,67,460,4
34,54,1529,4
36,48,1886,4
36,64,1842,4
37,43,942,4
37,69,324,4
39,46,1365,4
39,47,1604,4
39,60,1189,4
40,72,49,4
41,47,2168,4
42,57,1696,4
45,49,721,4
45,51,1065,4
45,57,1639,4
45,68,1030,4
45,71,703,4
46,67,1599,4
47,62,2544,4
48,52,493,4
48,53,1538,4
48,59,1194,4
48,60,1592,4
49,53,1251,4
50,60,383,4
51,73,1094,4
52,53,1080,4
53,55,939,4
53,70,229,4
54,65,1281,4
55,63,1086,4
61,68,1437,4
0,49,1361,5
1,15,191,5
1,18,707,5
1,43,363,5
1,57,2024,5
1,61,2198,5
2,26,506,5
2,31,924,5
2,61,1928,5
2,65,332,5
2,68,1029,5
3,44,1681,5
3,58,913,5
4,44,974,5
4,59,2261,5
5,11,588,5
5,47,1815,5
5,55,1489,5
6,38,1201,5
6,48,130,5
8,16,560,5
8,60,1484,5
9,54,1478,5
9,58,1773,5
9,67,813,5
10,32,398,5
10,34,308,5
10,61,2102,5
10,68,1181,5
11,59,1157,5
12,25,1651,5
12,41,1414,5
13,57,1657,5
14,36,997,5
14,58,885,5
15,24,328,5
15,57,2183,5
15,65,723,5
16,25,1295,5
16,49,402,5
16,56,300,5
17,50,2196,5
18,67,933,5
20,61,950,5
21,31,1044,5
21,39,1398,5
21,55,1048,5
22,42,630,5
22,51,937,5
23,54,1592,5
26,54,1585,5
26,64,324,5
27,55,588,5
27,61,2274,5
27,64,571,5
28,30,609,5
28,50,1874,5
28,58,1967,5
28,68,968,5
29,52,328,5
30,40,546,5
30,43,947,5
30,62,1554,5
30,67,869,5
32,37,1180,5
32,51,939,5
32,66,189,5
33,50,1349,5
33,61,1453,5
33,72,622,5
36,70,2420,5
37,47,1186,5
37,57,1165,5
39,43,1200,5
39,71,1322,5
42,43,428,5
43,50,2095,5
43,62,2264,5
46,49,1475,5
46,50,854,5
49,50,1162,5
53,59,2338,5
54,69,947,5
55,68,923,5
60,62,54,5
61,67,1393,5
0,29,1607,6
1,5,1498,6
1,6,1292,6
1,13,473,6
2,17,484,6
2,54,1600,6
2,60,1993,6
2,70,569,6
3,54,667,6
4,8,1186,6
4,14,1500,6
5,15,1651,6
7,36,853,6
8,58,1429,6
9,16,432,6
10,20,1511,6
11,44,1094,6
11,72,987,6
12,57,1568,6
13,14,1015,6
13,16,617,6
13,49,596,6
13,55,616,6
13,71,455,6
14,44,1710,6
14,67,641,6
15,22,196,6
15,44,941,6
15,49,1143,6
15,69,1053,6
16,20,862,6
16,36,1329,6
16,71,1018,6
17,20,1592,6
17,22,413,6
17,61,2324,6
19,25,837,6
19,57,728,6
20,36,1360,6
21,68,1357,6
22,34,634,6
22,41,2152,6
22,49,1305,6
22,62,2529,6
23,58,1987,6
23,63,708,6
23,67,807,6
24,32,474,6
24,33,608,6
24,63,792,6
25,48,1425,6
25,50,236,6
25,59,305,6
26,57,1804,6
27,35,2172,6
27,50,2146,6
28,59,1837,6
29,35,1406,6
29,54,982,6
29,57,1237,6
30,37,333,6
32,64,942,6
34,60,1990,6
34,65,260,6
36,40,1902,6
36,41,1090,6
36,73,1822,6
37,54,1030,6
40,49,851,6
40,54,1680,6
42,48,1061,6
42,50,1790,6
43,52,639,6
45,55,1082,6
45,60,1838,6
45,62,1814,6
45,67,870,6
46,51,2514,6
49,61,1328,6
51,67,989,6
56,69,632,6
56,71,990,6
65,69,348,6
66,70,467,6
0,59,430,7
1,16,846,7
1,35,2125,7
1,47,317,7
1,64,651,7
2,5,1243,7
2,6,1104,7
2,16,576,7
2,67,885,7
2,69,680,7
3,36,1025,7
3,67,616,7
4,39,1450,7
5,18,1484,7
5,36,1160,7
6,59,1103,7
8,48,383,7
9,26,585,7
10,13,456,7
10,14,1220,7
10,25,2047,7
12,60,1764,7
13,19,988,7
13,59,1711,7
15,50,2278,7
16,37,44,7
17,29,1047,7
18,47,843,7
20,45,1264,7
21,34,482,7
22,32,10,7
22,70,294,7
23,25,1922,7
23,55,705,7
24,55,831,7
25,39,1028,7
26,52,411,7
27,30,945,7
28,41,1602,7
28,55,784,7
28,60,2038,7
29,44,952,7
29,67,230,7
30,34,620,7
30,60,1573,7
31,38,2159,7
31,67,953,7
32,65,882,7
34,62,1958,7
34,67,752,7
36,42,1843,7
36,55,2489,7
37,55,1189,7
39,44,1388,7
39,48,476,7
39,50,916,7
40,62,2036,7
40,64,558,7
42,65,243,7
43,55,517,7
43,66,717,7
45,47,735,7
45,58,1763,7
46,47,2427,7
56,57,1442,7
1,3,1285,8
2,7,1643,8
2,23,214,8
2,25,1871,8
2,40,81,8
2,41,1593,8
2,55,919,8
3,31,1496,8
4,21,262,8
5,57,540,8
5,61,834,8
6,73,126,8
7,60,423,8
8,34,701,8
8,61,1422,8
9,62,1821,8
10,11,1023,8
11,20,557,8
11,57,1111,8
12,14,832,8
12,59,1631,8
13,47,763,8
15,61,2373,8
17,19,1416,8
17,59,2152,8
21,35,2186,8
21,54,1943,8
22,38,2425,8
22,67,1385,8
23,31,710,8
23,66,766,8
23,70,470,8
24,34,188,8
24,58,2038,8
24,59,1922,8
25,67,1295,8
26,41,1609,8
26,50,1905,8
26,58,2069,8
27,32,447,8
27,58,2271,8
27,59,2102,8
27,60,2339,8
27,68,1112,8
28,31,789,8
30,50,1506,8
30,58,1497,8
32,38,2435,8
33,53,1025,8
33,55,1015,8
34,44,919,8
34,57,1716,8
37,39,570,8
37,46,1332,8
37,52,834,8
39,69,375,8
40,55,947,8
40,68,1107,8
40,69,761,8
42,55,842,8
42,58,1876,8
42,66,804,8
42,71,493,8
43,70,286,8
45,63,620,8
45,69,637,8
49,57,1062,8
54,60,717,8
56,58,1515,8
56,67,875,8
64,68,568,8
65,67,557,8
1,11,1070,9
1,14,1312,9
1,25,2139,9
1,58,2190,9
2,3,1018,9
2,24,133,9
3,39,439,9
3,61,918,9
4,11,1210,9
4,31,851,9
4,38,2307,9
4,49,1167,9
8,57,1119,9
9,41,1466,9
10,19,1218,9
10,26,549,9
10,33,690,9
10,55,934,9
12,33,380,9
12,43,709,9
12,47,809,9
13,53,685,9
14,49,501,9
14,60,955,9
16,64,541,9
17,18,426,9
17,60,2389,9
18,38,2140,9
19,44,1664,9
20,30,1143,9
20,46,1286,9
20,73,498,9
21,57,2097,9
22,65,872,9
23,64,359,9
24,66,641,9
26,59,1855,9
27,42,431,9
27,67,1022,9
28,40,174,9
33,44,1224,9
33,57,1254,9
34,50,1813,9
34,55,728,9
35,60,264,9
36,43,2256,9
36,49,1498,9
37,63,218,9
40,48,1243,9
42,49,681,9
42,62,1917,9
42,69,590,9
43,68,1040,9
48,49,541,9
49,51,1055,9
53,67,1325,9
68,69,414,9
1,8,1043,10
1,32,311,10
2,57,1762,10
2,59,1822,10
2,71,505,10
3,51,1515,10
4,33,949,10
4,67,1236,10
5,49,522,10
5,67,559,10
9,25,1727,10
9,29,929,10
12,13,497,10
12,22,794,10
12,31,1119,10
12,44,1306,10
12,58,1689,10
12,71,763,10
13,31,626,10
13,50,1756,10
14,35,817,10
15,51,758,10
17,66,603,10
19,58,906,10
20,50,682,10
21,25,2191,10
21,60,2305,10
21,67,1222,10
21,69,1024,10
23,32,586,10
23,50,1878,10
23,59,1838,10
24,44,1002,10
24,50,1957,10
24,71,374,10
27,34,355,10
28,42,95,10
28,43,340,10
30,71,1005,10
33,46,1496,10
33,47,1086,10
33,54,1088,10
35,54,457,10
37,61,1324,10
42,64,378,10
43,49,933,10
43,59,2049,10
43,63,938,10
43,71,128,10
45,50,1727,10
45,65,328,10
48,50,1262,10
48,64,688,10
54,62,664,10
1,34,342,11
1,67,1094,11
2,15,452,11
3,68,742,11
4,9,613,11
5,58,844,11
6,7,1063,11
8,39,304,11
8,44,1094,11
8,54,888,11
10,62,2141,11
11,41,910,11
12,42,283,11
12,53,767,11
13,72,462,11
16,31,1211,11
17,49,1037,11
20,72,1453,11
21,43,531,11
22,28,555,11
22,44,1109,11
22,59,2384,11
23,62,2024,11
24,31,832,11
25,60,168,11
28,34,92,11
28,67,838,11
39,62,1144,11
39,73,430,11
40,44,1120,11
40,58,1989,11
40,65,414,11
57,62,400,11
1,33,769,12
1,70,332,12
3,5,341,12
6,44,1130,12
6,54,808,12
6,57,1069,12
12,28,369,12
13,67,642,12
14,61,890,12
15,38,2288,12
16,55,1195,12
17,55,602,12
18,55,176,12
21,33,855,12
23,30,669,12
23,34,65,12
23,68,927,12
24,70,436,12
26,68,815,12
28,33,526,12
28,47,571,12
30,51,1317,12
33,37,174,12
37,50,1254,12
37,62,1360,12
40,50,1931,12
45,53,694,12
47,66,182,12
56,61,1529,12
63,68,508,12
64,69,345,12
68,73,201,12
1,7,1909,13
1,51,828,13
1,66,479,13
3,9,877,13
3,62,952,13
4,29,1248,13
5,62,851,13
6,14,798,13
9,59,1690,13
10,43,429,13
12,65,310,13
16,26,823,13
16,62,1389,13
17,38,2211,13
21,32,277,13
21,49,1114,13
26,55,417,13
27,31,582,13
27,62,2306,13
34,53,578,13
34,59,1773,13
35,62,209,13
36,71,2336,13
42,44,1031,13
42,47,646,13
46,60,538,13
1,62,2235,14
2,22,564,14
2,49,770,14
3,57,763,14
5,9,1119,14
5,35,681,14
10,22,388,14
10,44,1094,14
10,69,851,14
12,67,830,14
13,18,499,14
13,41,1468,14
15,53,125,14
16,68,763,14
17,53,341,14
19,49,452,14
19,61,908,14
21,41,1934,14
21,61,2241,14
22,29,1406,14
23,44,889,14
23,71,357,14
24,45,331,14
26,44,611,14
27,66,635,14
28,51,758,14
28,65,320,14
30,41,1292,14
33,41,1082,14
33,51,1036,14
33,59,1313,14
34,47,649,14
34,68,878,14
36,53,2349,14
36,66,2464,14
36,67,1634,14
41,50,304,14
41,62,583,14
48,57,1165,14
53,66,265,14
56,62,1573,14
56,65,461,14
1,50,2117,15
2,34,204,15
2,51,893,15
4,47,174,15
10,47,403,15
11,35,1267,15
11,58,1429,15
12,50,1656,15
14,25,826,15
15,26,544,15
15,43,328,15
15,66,391,15
16,50,1290,15
17,44,727,15
18,29,820,15
21,26,692,15
27,44,724,15
28,62,2008,15
28,64,404,15
30,57,1425,15
33,49,291,15
33,64,360,15
34,51,711,15
34,69,583,15
35,59,196,15
37,51,1210,15
39,68,327,15
43,44,666,15
48,73,104,15
49,58,1331,15
63,67,339,15
2,14,1044,16
3,35,842,16
5,29,747,16
8,20,572,16
9,44,1195,16
9,51,988,16
10,31,933,16
10,59,2001,16
10,66,547,16
12,19,839,16
12,29,971,16
12,40,311,16
13,69,511,16
14,41,611,16
24,49,842,16
25,61,120,16
31,55,25,16
33,62,1486,16
40,59,1899,16
42,59,1755,16
48,54,899,16
1,17,312,17
2,19,1040,17
2,28,135,17
11,54,876,17
12,34,390,17
16,51,1213,17
21,50,2188,17
28,44,966,17
34,71,421,17
37,41,1009,17
37,58,1317,17
37,64,534,17
50,59,74,17
1,55,880,18
2,64,485,18
4,32,167,18
8,41,919,18
10,42,261,18
10,51,890,18
16,41,1049,18
16,63,259,18
16,69,357,18
18,44,333,18
19,51,1503,18
20,38,715,18
20,62,955,18
23,33,538,18
23,51,680,18
23,53,518,18
23,65,326,18
26,29,697,18
27,29,1000,18
27,53,371,18
33,69,217,18
43,53,452,18
58,60,78,18
0,50,357,19
2,33,512,19
2,43,465,19
2,44,1101,19
2,47,580,19
3,41,626,19
3,49,473,19
5,50,639,19
10,29,1108,19
13,44,817,19
14,29,869,19
15,29,1217,19
17,71,21,19
21,58,2231,19
23,47,592,19
23,69,646,19
28,53,503,19
33,63,191,19
42,51,823,19
43,47,536,19
1,19,1306,20
3,11,634,20
3,25,853,20
11,68,178,20
13,51,614,20
17,47,424,20
21,66,390,20
24,53,416,20
30,59,1490,20
39,57,814,20
40,51,913,20
56,59,1507,20
3,29,844,21
10,50,2033,21
19,41,583,21
21,28,390,21
21,29,1282,21
21,71,481,21
24,28,97,21
24,47,480,21
24,51,795,21
26,31,425,21
26,38,1924,21
27,38,2160,21
39,54,588,21
40,47,507,21
1,30,752,22
13,26,210,22
16,59,1264,22
17,26,352,22
17,70,164,22
19,62,939,22
28,38,1884,22
40,42,182,22
45,59,1701,22
1,45,446,23
2,13,353,23
3,50,848,23
6,20,486,23
10,23,277,23
20,57,582,23
21,51,994,23
24,29,988,23
24,65,408,23
34,64,312,23
37,49,363,23
1,40,206,24
2,11,864,24
2,53,526,24
3,7,627,24
4,51,792,24
7,38,223,24
14,50,826,24
21,30,750,24
49,68,361,24
51,55,91,24
1,44,1027,25
14,62,924,25
15,32,201,25
21,59,2159,25
24,38,1966,25
27,47,454,25
29,38,1368,25
37,59,1227,25
40,53,458,25
6,41,866,26
24,43,347,26
34,38,1824,26
43,51,464,26
7,54,338,27
13,38,1772,27
23,38,1890,27
28,29,892,27
36,47,2378,27
46,72,1941,27
1,42,329,28
2,27,449,28
2,29,969,28
2,38,1860,28
2,45,198,28
5,25,735,28
17,51,538,28
19,29,808,28
39,41,615,28
64,67,455,28
10,30,644,29
16,29,791,29
19,50,817,29
21,62,2282,29
22,66,196,29
25,35,109,29
1,59,2083,30
2,30,503,30
11,39,297,30
13,29,662,30
42,53,583,30
46,59,915,30
1,23,292,31
2,42,107,31
7,50,232,31
10,27,383,31
15,47,208,31
21,44,1189,31
23,42,150,31
36,45,1662,31
67,68,171,31
1,28,257,32
3,59,826,32
23,29,843,32
23,43,279,32
30,38,1501,32
1,2,269,33
7,57,179,33
20,54,326,33
34,43,336,33
36,44,2697,33
12,38,1657,34
21,47,280,34
35,38,76,34
36,50,975,34
46,56,1418,34
49,59,1115,34
1,22,301,35
21,45,467,35
27,51,529,35
33,38,1358,35
1,53,257,36
10,28,216,36
19,59,791,36
17,43,122,37
25,41,467,37
35,36,854,37
0,38,307,38
10,38,2038,39
10,45,340,39
23,26,293,39
36,59,1033,39
46,62,575,39
8,38,1244,40
1,29,1135,41
8,68,210,41
21,23,444,41
25,57,292,41
22,47,15,42
1,27,303,43
13,64,187,43
49,67,192,43
11,67,29,44
14,59,806,44
22,53,71,44
35,41,381,44
36,51,2521,44
9,38,1723,46
27,43,82,46
26,51,406,47
21,53,265,48
1,38,2125,49
8,67,50,49
35,50,126,49
21,22,268,50
25,58,149,50
31,44,192,51
35,57,191,52
5,41,353,53
10,12,413,55
37,38,1258,55
16,38,1293,56
14,38,825,57
23,28,79,57
56,72,525,57
5,59,593,58
54,57,268,60
12,30,242,61
12,45,73,61
1,12,518,63
10,24,123,63
3,38,849,65
21,46,2148,67
21,27,465,68
21,38,2192,68
8,11,31,70
20,41,379,73
1,24,163,76
1,9,418,77
10,56,627,77
7,41,243,83
21,24,294,83
36,72,1899,83
19,38,821,88
36,62,709,89
5,38,658,92
1,56,735,93
25,38,186,114
21,56,732,121
2,9,151,124
21,72,234,134
1,72,212,142
10,72,103,142
1,10,109,165
36,56,1374,171
36,38,928,178
36,46,137,239
