county1, county2, distance, netmig
44,45,1273,-18
50,54,363,-18
50,62,328,-18
53,72,452,-18
4,27,282,-17
9,46,1734,-17
11,19,602,-17
11,21,1199,-17
11,33,451,-17
11,36,1655,-17
11,65,538,-17
13,23,181,-17
18,27,412,-17
25,69,1315,-17
26,28,373,-17
27,56,931,-17
29,45,997,-17
29,53,1340,-17
35,39,969,-17
37,42,559,-17
37,56,344,-17
38,73,1204,-17
43,56,934,-17
59,72,1924,-17
60,61,65,-17
62,72,2052,-17
0,62,30,-16
2,46,1885,-16
3,12,808,-16
3,33,535,-16
5,20,228,-16
7,30,1277,-16
7,63,973,-16
9,63,586,-16
13,45,476,-16
15,21,281,-16
20,35,759,-16
20,68,510,-16
26,40,542,-16
29,71,1053,-16
35,49,1198,-16
36,60,674,-16
36,63,1403,-16
44,71,712,-16
50,63,1170,-16
7,19,602,-15
8,19,590,-15
8,45,823,-15
9,33,395,-15
11,16,590,-15
16,22,1140,-15
29,39,457,-15
29,43,925,-15
29,48,200,-15
29,51,850,-15
31,51,70,-15
38,43,2111,-15
38,51,2197,-15
40,56,529,-15
47,70,301,-15
57,68,1091,-15
3,10,1194,-14
3,65,747,-14
6,42,1001,-14
6,68,75,-14
6,69,485,-14
7,68,1073,-14
9,13,396,-14
9,49,674,-14
9,64,473,-14
13,34,152,-14
14,16,469,-14
29,46,1817,-14
29,55,778,-14
30,73,1235,-14
31,71,583,-14
34,36,1920,-14
41,48,965,-14
41,58,606,-14
42,73,1122,-14
44,48,1063,-14
44,72,1163,-14
45,46,1701,-14
51,72,956,-14
55,64,655,-14
55,71,592,-14
58,62,87,-14
60,72,2077,-14
62,65,1697,-14
62,69,1424,-14
0,46,546,-13
3,6,777,-13
3,37,411,-13
5,73,663,-13
6,24,1139,-13
6,33,702,-13
6,36,1759,-13
7,69,1062,-13
9,68,969,-13
9,71,646,-13
11,13,615,-13
11,22,1359,-13
11,28,814,-13
12,72,315,-13
19,30,709,-13
19,40,1115,-13
19,56,725,-13
20,33,834,-13
20,67,527,-13
25,49,1241,-13
28,48,1092,-13
28,56,595,-13
29,56,1055,-13
29,70,1211,-13
30,45,307,-13
33,45,433,-13
37,45,474,-13
38,53,2382,-13
45,56,291,-13
47,71,430,-13
48,67,349,-13
57,73,1070,-13
59,64,1538,-13
70,71,159,-13
0,60,31,-12
