county1, county2, distance, net_mig
4, 52, 988, 66
4, 53, 92, -51
4, 54, 2022, -28
4, 55, 860, 4
4, 56, 930, -61
4, 57, 2203, -59
4, 58, 2381, -35)
4, 59, 2261, -7
4, 60, 2453, 12
4, 61, 2388, -5
4, 62, 2424, 39
4, 63, 1130, -7
4, 64, 783, -1
4, 65, 744, 40
4, 66, 357, -11
4, 67, 1236, -35
4, 68, 1347, -9
4, 69, 1077, 23
4, 70, 178, 2
4, 71, 267, 49
4, 72, 405, -11
4, 73, 1526, -7
5, 6, 612, 23
5, 7, 475, 35
5, 8, 591, 30
5, 9, 1119, 113
5, 10, 1421, 95
5, 11, 588, 54
5, 12, 1075, 13
5, 13, 1117, -62
5, 14, 339, -111
5, 15, 1651, -26
5, 16, 714, -182
5, 17, 1558, -45
5, 18, 1484, -46
5, 19, 286, -97
5, 20, 228, 16
5, 21, 1585, -15
5, 22, 1800, 7
5, 23, 1246, 2
5, 24, 1336, 12
5, 25, 735, 55
5, 26, 1266, -74
5, 27, 1508, -46
5, 28, 1248, -16
5, 29, 747, 100
5, 30, 977, -80
5, 31, 1512, 29
5, 32, 1809, -159
5, 33, 731, -203
5, 34, 1181, -70
5, 35, 681, 23
5, 36, 1160, 55
5, 37, 672, -70
5, 38, 658, 198
5, 39, 293, 15
5, 40, 1322,-19
5, 41, 353, 40
5, 42, 1169, -16
5, 43, 1455, -27
5, 44, 1681, -32
5, 45, 1141, 12
5, 46, 1098, -6
5, 47, 1815, -97
5, 48, 734, 5
5, 49, 522, 61
5, 50, 639, 14
5, 51, 1547, 113
5, 52, 1034, 11
5, 53, 1751, 22
5, 54, 359, 26
5, 55, 1489, 104
5, 56, 992, -27
5, 57, 540, 33
5, 58, 844, 48
5, 59, 593, 103
5, 60, 895, -9
5, 61, 834, 36
5, 62, 851, -10
5, 63, 543, -14
5, 64, 946, -11
5, 65, 928, -8
5, 66, 1969, 20
5, 67, 559, 42
5, 68, 610, 26
5, 69, 606, -13
5, 70, 1709, 4
5, 71, 1573, -10
5, 72, 1351, 45
5, 73, 663, 2
6, 7, 1063, 42
6, 8, 283, -47
6, 9, 1044, 90
6, 10, 1256, 127
6, 11, 251, -67
6, 12, 1067, 75
6, 13, 824, 26
6, 14, 798, -53
6, 15, 1387, 16
6, 16, 829, -72
6, 17, 1226, -7
6, 18, 1010, -18
6, 19, 732, -26
6, 20, 486, 11
6, 21, 1431, 20
6, 22, 1572, 49
6, 23, 1000, 40
6, 24, 1139, 63
6, 25, 1319, -49
6, 26, 879, -27
6, 27, 1179, 39
6, 28, 1042, 23
6, 29, 189, -78
6, 30, 1110, -27
6, 31, 988, -43
6, 32, 1580, -65
6, 33, 702, -72
6, 34, 952, 9
6, 35, 1245, 3
6, 36, 1759, 51
6, 37, 790, -29
6, 38, 1201, -82
6, 39, 346, -31
6, 40, 1183, -3
6, 41, 866, 54
6, 42, 1001, 27
6, 43, 1106, 2
6, 44, 1130, -22
6, 45, 1105, 15
6, 46, 1706, 8
6, 47, 1587, -56
6, 48,130, 7
6, 49, 426, -39
6, 50, 1168, -51
6, 51, 1037, -60
6, 52, 518, -29
6, 53, 1509, 7
6, 54, 808, 28
6, 55, 963, -106
6, 56, 1116, -41
6, 57, 1069, 35
6,58, 1442, -64
6, 59, 1103, -83
6, 60, 1485, -46
6, 61, 1428, -53
6, 62, 1436, -56
6, 63, 572, -33
6, 64, 641, -3
6, 65, 784, -12
6, 66, 1764, 26
6, 67, 241, -17
6, 68, 75, 14
6, 69, 485, -5
6, 70, 1391, 4
6, 71, 1234, 17
6, 72, 1227, 42
6, 73, 126, 0
7, 8, 1067, -63
7, 9, 1504, 155
7, 10, 1820, 153
7, 11, 1064, -81
7, 12, 1435, 128
7, 13, 1569, 40
7, 14, 603, -83
7, 15, 2075, 59
7, 16, 1072, -118
7, 17, 2005, 38
7, 18, 1958, -10
7, 19, 602, -37
7, 20, 588, -28
7, 21, 1972, 56
7, 22, 2207, 62
7, 23, 1680, 43
7, 24, 1750, 105
7, 25, 260, -82
7, 26, 1730, 6
7, 27, 1955, 55
7, 28, 1671, 118
7, 29, 1215, -110
7, 30, 1277, 4
7, 31, 1988, -57
7, 32, 2217, -78
7, 33, 1145, -70
7, 34, 1614, 1
7, 35, 217, -88
7, 36, 853, 43
7, 37, 1038, -38
7, 38, 223, -121
7, 39, 768, -68
7, 40, 1717, -6
7, 41, 243, 126
7, 42, 1584, 24
7, 43, 1909, -5
7, 44, 2156, -19
7, 45, 1507, 49
7, 46, 751, 18
7, 47, 2223, -42
7, 48, 1172, -13
7, 49, 985, -28
7, 50, 232, -64
7, 51, 2022, -85
7, 52, 1509, -38
7, 53, 2166, 4
7, 54, 338, 39
7, 55, 1965, -109
7, 56, 1295, 16
7, 57, 179, 74
7, 58, 380, -80
7, 59, 240, -114
7, 60, 423, -50
