county_1, county_2, net_mig, distance
2, 73, -7, 1226
3, 4, -59, 1473
3, 5, -19, 341
3, 6, -37, 777
3, 7, -38, 627
3, 8, 45, 620
3, 9, -65, 877
3, 10, -157, 1194
3, 11, 60, 634
3, 12, -25, 808
3, 13, -1, 985
3, 14, 8, 29
3, 15, 21, 1457
3, 16, 59, 444
3, 17, 33,1407
3, 18, 29, 1429
3, 19, -58, 57
3, 20, -21, 554
3, 21, -18, 1344
3, 22, 34, 1582
3, 23, -32, 1073
3, 24, -18, 1130
3, 25, 33, 853
3, 26, -26, 1170
3, 27, -3, 1358
3, 28, -12, 1055
3, 29, 181, 844
3, 30, -57, 666
3, 31, 89, 1496
3, 32, -7, 1592
3, 33, 9, 535
3, 34, 49, 1007
3, 35, -3, 842
3, 36, -22, 1025
3, 37, -13, 411
3, 38, 51, 849
3, 39, -2, 439
3, 40, 146, 1091
3, 41, -42, 626
3, 42, 60, 965
3, 43, -10, 1321
3, 44, -34, 1681
3, 45, 27, 880
3, 46, -50, 1003
3, 47, -2, 1597
3, 48, -2, 908
3, 49, 81, 473
3, 50, -63, 848
3, 51, 153, 1515
3, 52, 70, 1051
3, 53, 14, 1543
3, 54, -29, 667
3, 55, 87, 1475
3, 56, 33, 683
3, 57, -41, 763
3, 58, 35, 913
3, 59, 124, 826
3, 60, 11, 983
3, 61, 19, 918
3, 62, -28, 952
3, 63, 0, 395
3, 64, -19, 849
3, 65, -48, 747
3, 66, -6, 1734
3, 67, 38, 616
3, 68, -13, 742
3, 69, -3, 518
3, 70, -8, 1542
3, 71, -31, 1424
3, 72, -7, 1110
3, 73, 2, 869
4, 5, -21, 1672
4, 6, -30, 1418
4, 7, 4, 2093
4, 8, 22, 1186
4, 9, 33, 613
4, 10, -88, 302
4, 11, 3, 1210
4, 12, -40, 713
4, 13, 56, 595
4, 14, 14, 1500
4, 15, 11, 35
4, 16, -14, 1037
4, 17, 32, 258
4, 18, -21, 683
4, 19, -26, 1491
4, 20, -4, 1736
4, 21, -45, 262
4, 22, 6, 161
4, 23, 0, 432
4, 24, 49, 343
