c1,c2,dis,nm
9,65,261,-18
11,29,217,-18
15,21,281,-18
21,48,1483,-18
25,43,2158,-18
29,53,1340,-18
30,73,1235,-18
41,61,585,-18
41,67,880,-18
43,53,452,-18
44,48,1063,-18
1,20,1577,-17
6,8,283,-17
6,49,426,-17
9,39,951,-17
11,14,660,-17
11,42,764,-17
17,34,402,-17
24,48,1189,-17
31,40,949,-17
31,56,1322,-17
41,42,1521,-17
41,43,1805,-17
47,56,1009,-17
0,56,1568,-16
1,73,1407,-16
6,43,1106,-16
8,42,735,-16
9,34,277,-16
10,15,300,-16
10,48,1308,-16
11,43,928,-16
11,59,1157,-16
15,46,2336,-16
15,53,125,-16
24,65,408,-16
26,53,670,-16
29,60,1638,-16
36,48,1886,-16
41,60,635,-16
41,71,1923,-16
42,45,241,-16
44,53,1043,-16
47,69,1229,-16
48,61,1537,-16
0,21,2280,-15
0,63,1332,-15
3,16,444,-15
4,45,642,-15
6,12,1067,-15
6,61,1428,-15
6,64,641,-15
7,49,985,-15
7,51,2022,-15
8,43,909,-15
10,73,1375,-15
11,36,1655,-15
13,27,390,-15
16,43,929,-15
19,21,1371,-15
19,23,1084,-15
20,25,838,-15
21,73,1550,-15
24,73,1257,-15
28,36,1938,-15
29,62,1591,-15
31,64,672,-15
34,72,309,-15
38,55,2135,-15
41,63,895,-15
47,53,83,-15
49,65,438,-15
57,67,1082,-15
0,12,1739,-14
1,35,2125,-14
1,61,2198,-14
1,72,212,-14
2,48,1167,-14
6,11,251,-14
6,25,1319,-14
7,34,1614,-14
7,67,1035,-14
7,68,1073,-14
8,59,1166,-14
9,25,1727,-14
10,54,1778,-14
11,13,615,-14
11,37,553,-14
11,61,1421,-14
13,23,181,-14
14,15,1484,-14
19,46,1024,-14
20,35,759,-14
20,49,571,-14
24,54,1689,-14
27,28,337,-14
29,31,803,-14
29,43,925,-14
30,45,307,-14
30,54,1326,-14
30,61,1511,-14
31,37,1206,-14
35,49,1198,-14
49,50,1162,-14
0,2,1967,-13
0,19,944,-13
0,33,1490,-13
1,25,2139,-13
1,39,1290,-13
7,11,1064,-13
7,64,1407,-13
9,10,320,-13
10,14,1220,-13
11,45,854,-13
12,48,1155,-13
12,64,544,-13
15,17,223,-13
18,32,837,-13
19,34,1018,-13
28,73,1160,-13
29,55,778,-13
38,47,2440,-13
44,49,1212,-13
44,73,1167,-13
47,63,1272,-13
49,53,1251,-13
50,64,1586,-13
53,54,2103,-13
56,57,1442,-13
58,69,1400,-13
59,60,456,-13
0,50,357,-12
0,61,39,-12
3,17,1407,-12
4,40,402,-12
4,46,2343,-12
5,40,1322,-12
6,65,784,-12
7,26,1730,-12
8,37,524,-12
8,62,1441,-12
9,30,358,-12
9,31,1010,-12
10,69,851,-12
11,16,590,-12
11,18,903,-12
11,19,602,-12
11,34,728,-12
13,40,412,-12
13,71,455,-12
15,45,637,-12
18,40,788,-12
19,27,1366,-12
20,22,1876,-12
20,29,656,-12
25,56,1491,-12
25,64,1660,-12
29,32,1413,-12
30,65,466,-12
33,71,889,-12
33,73,828,-12
34,40,259,-12
35,37,1253,-12
40,49,851,-12
41,64,1293,-12
44,57,2188,-12
44,69,1163,-12
44,71,712,-12
45,63,620,-12
45,73,1231,-12
47,72,493,-12
50,62,328,-12
50,65,1555,-12
50,68,1191,-12
53,73,1618,-12
55,63,1086,-12
58,59,454,-12
67,69,244,-12
0,27,2311,-11
1,62,2235,-11
2,12,261,-11
2,61,1928,-11
2,70,569,-11
3,27,1358,-11
3,53,1543,-11
3,65,747,-11
6,51,1037,-11
6,59,1103,-11
7,19,602,-11
7,33,1145,-11
7,61,364,-11
7,65,1354,-11
8,36,1644,-11
8,49,170,-11
9,18,866,-11
9,42,167,-11
10,28,216,-11
10,37,783,-11
11,22,1359,-11
11,26,714,-11
12,54,1434,-11
13,56,695,-11
14,42,993,-11
16,19,473,-11
16,27,952,-11
16,48,941,-11
18,19,1420,-11
19,56,725,-11
21,35,2186,-11
25,36,750,-11
25,53,2397,-11
30,37,333,-11
31,51,70,-11
32,36,2375,-11
33,40,591,-11
35,39,969,-11
36,54,1186,-11
39,58,1137,-11
41,47,2168,-11
41,65,1281,-11
41,72,1699,-11
44,58,2523,-11
44,65,1068,-11
46,48,1831,-11
47,49,1320,-11
51,63,1122,-11
51,70,646,-11
53,70,229,-11
57,60,454,-11
57,68,1091,-11
58,71,2338,-11
59,62,402,-11
63,69,135,-11
0,4,2426,-10
0,34,1962,-10
0,36,680,-10
0,40,2037,-10
0,46,546,-10
0,65,1701,-10
1,68,1219,-10
1,69,914,-10
2,37,606,-10
3,37,411,-10
5,16,714,-10
5,34,1181,-10
5,37,672,-10
6,16,829,-10
6,29,189,-10
7,25,260,-10
7,53,2166,-10
8,23,757,-10
9,14,902,-10
9,66,858,-10
10,39,1226,-10
10,63,879,-10
11,27,994,-10
11,30,863,-10
11,31,924,-10
11,69,236,-10
12,17,742,-10
13,42,252,-10
14,72,1136,-10
15,22,196,-10
17,46,2340,-10
18,20,1454,-10
20,58,968,-10
21,30,750,-10
22,54,2154,-10
24,25,1984,-10
24,27,321,-10
24,68,1065,-10
25,51,2282,-10
25,59,305,-10
26,73,975,-10
28,54,1600,-10
30,64,704,-10
33,45,433,-10
37,73,912,-10
38,66,2582,-10
41,62,583,-10
42,69,590,-10
43,45,658,-10
43,73,1204,-10
44,45,1273,-10
44,64,864,-10
44,70,815,-10
47,54,2169,-10
47,73,1697,-10
50,70,2345,-10
51,65,871,-10
51,69,997,-10
51,73,1094,-10
54,59,295,-10
54,61,670,-10
57,58,441,-10
58,64,1744,-10
60,65,1729,-10
62,63,1326,-10
62,71,2372,-10
0,10,2141,-9
1,10,109,-9
1,12,518,-9
3,34,1007,-9
3,48,908,-9
