c1,c2,dis,nm
59,61,423,1
60,70,2525,1
61,62,54,1
62,67,1411,1
63,68,508,1
63,71,1048,1
64,68,568,1
64,73,756,1
65,66,1047,1
66,67,1572,1
66,70,467,1
66,72,624,1
67,70,1233,1
70,71,159,1
0,18,2340,2
0,32,2539,2
0,45,1812,2
0,62,30,2
0,66,2670,2
1,46,2147,2
2,25,1871,2
2,69,680,2
3,24,1130,2
3,60,983,2
3,72,1110,2
4,14,1500,2
4,15,35,2
4,37,1064,2
4,42,509,2
4,51,792,2
4,63,1130,2
4,69,1077,2
5,22,1800,2
5,36,1160,2
5,56,992,2
6,10,1256,2
6,50,1168,2
6,53,1509,2
6,55,963,2
7,60,423,2
8,28,787,2
8,44,1094,2
8,61,1422,2
9,60,1847,2
10,18,767,2
10,19,1218,2
10,45,340,2
12,30,242,2
13,37,623,2
13,44,817,2
14,24,1157,2
14,26,1199,2
14,54,655,2
14,67,641,2
15,32,201,2
15,52,955,2
15,54,1999,2
16,39,614,2
16,52,853,2
16,69,357,2
17,31,594,2
17,39,1309,2
18,31,169,2
18,48,979,2
18,56,1189,2
18,66,1017,2
18,70,550,2
18,73,1080,2
19,26,1167,2
19,52,1028,2
19,53,1563,2
19,55,1460,2
19,66,1761,2
20,34,1243,2
20,38,715,2
20,43,1480,2
20,53,1821,2
21,26,692,2
22,26,739,2
22,35,2423,2
22,45,721,2
22,64,934,2
23,37,678,2
23,65,326,2
24,55,831,2
25,50,236,2
26,30,911,2
26,31,425,2
26,35,1944,2
26,45,664,2
26,49,745,2
26,68,815,2
27,45,647,2
28,52,702,2
30,33,417,2
30,71,1005,2
31,32,1001,2
31,45,1089,2
31,61,2344,2
32,45,731,2
32,54,2163,2
32,55,1012,2
32,61,2500,2
33,46,1496,2
35,69,1276,2
36,57,997,2
37,63,218,2
39,43,1200,2
39,50,916,2
39,60,1189,2
39,65,723,2
39,67,268,2
40,71,484,2
41,46,993,2
41,55,1802,2
42,54,1523,2
42,65,243,2
43,48,1116,2
43,52,639,2
43,60,2299,2
43,71,128,2
45,52,903,2
46,49,1475,2
46,66,2521,2
49,62,1352,2
50,63,1170,2
51,72,956,2
52,65,595,2
52,66,1346,2
57,72,1863,2
61,66,2631,2
63,66,1427,2
64,67,455,2
0,15,2411,3
1,8,1043,3
1,32,311,3
1,57,2024,3
2,4,462,3
2,17,484,3
2,46,1885,3
2,55,919,3
3,5,341,3
3,36,1025,3
3,55,1475,3
4,58,2381,3
5,25,735,3
5,54,359,3
5,55,1489,3
5,65,928,3
5,70,1709,3
6,47,1587,3
7,37,1038,3
8,25,1326,3
8,63,314,3
10,24,123,3
10,30,644,3
10,52,912,3
10,59,2001,3
10,70,440,3
12,16,366,3
12,19,839,3
12,25,1651,3
12,27,704,3
12,67,830,3
12,70,830,3
13,19,988,3
13,25,1818,3
13,48,862,3
13,66,940,3
14,27,1387,3
14,44,1710,3
14,55,1505,3
14,64,878,3
14,65,775,3
14,68,764,3
15,44,941,3
15,69,1053,3
17,22,413,3
17,32,417,3
17,45,682,3
17,63,1032,3
17,72,493,3
18,37,1107,3
18,51,125,3
19,45,910,3
19,48,863,3
19,63,391,3
20,32,1885,3
20,44,1609,3
21,46,2148,3
22,69,1214,3
23,31,710,3
23,32,586,3
23,33,538,3
23,41,1599,3
25,31,2248,3
25,65,1595,3
26,71,357,3
27,54,1844,3
27,55,588,3
27,70,212,3
28,37,652,3
28,67,838,3
31,47,1008,3
32,49,1314,3
32,52,1156,3
34,58,1921,3
34,60,1990,3
35,40,1933,3
35,60,264,3
36,58,624,3
36,61,661,3
36,66,2464,3
39,64,688,3
39,69,375,3
40,70,526,3
42,52,706,3
42,67,786,3
43,49,933,3
44,47,1116,3
45,64,550,3
45,71,703,3
46,55,2478,3
47,60,2569,3
47,67,1400,3
48,71,1244,3
49,66,1484,3
49,70,1191,3
51,57,2069,3
52,56,1050,3
53,57,2279,3
53,61,2455,3
53,72,452,3
54,55,1758,3
54,69,947,3
54,73,803,3
55,58,2328,3
56,60,1592,3
56,64,700,3
57,73,1070,3
60,64,1807,3
61,65,1664,3
64,66,1125,3
65,68,709,3
68,70,1324,3
0,11,1452,4
1,7,1909,4
1,26,522,4
1,27,303,4
2,32,574,4
2,58,1920,4
2,66,726,4
3,4,1473,4
3,6,777,4
3,62,952,4
3,66,1734,4
3,67,616,4
3,73,869,4
5,7,475,4
6,56,1116,4
7,23,1680,4
7,55,1965,4
8,10,995,4
8,16,560,4
8,66,1522,4
8,72,958,4
9,47,722,4
10,72,103,4
11,44,1094,4
12,24,394,4
12,31,1119,4
12,33,380,4
12,39,935,4
12,50,1656,4
13,14,1015,4
13,18,499,4
13,60,1960,4
13,68,752,4
14,43,1350,4
14,58,885,4
15,25,2311,4
15,58,2366,4
16,20,862,4
16,47,1155,4
17,20,1592,4
17,35,2222,4
18,50,2116,4
19,37,437,4
19,61,908,4
19,62,939,4
19,65,757,4
19,73,821,4
20,47,1891,4
20,70,1750,4
21,66,390,4
22,34,634,4
22,65,872,4
22,72,479,4
23,54,1592,4
23,69,646,4
23,70,470,4
25,28,1908,4
25,61,120,4
26,51,406,4
26,57,1804,4
27,52,719,4
27,57,2047,4
28,66,736,4
29,61,1579,4
31,73,1040,4
32,41,2162,4
32,57,2334,4
33,57,1254,4
33,67,460,4
34,44,919,4
34,59,1773,4
34,61,1925,4
34,66,820,4
34,69,583,4
36,51,2521,4
37,65,362,4
37,66,1324,4
37,69,324,4
39,52,741,4
40,55,947,4
40,57,1839,4
40,63,782,4
40,66,647,4
42,57,1696,4
42,63,626,4
45,50,1727,4
45,56,291,4
49,52,578,4
50,67,1183,4
51,66,1114,4
54,66,2325,4
54,72,1709,4
55,59,2047,4
56,69,632,4
58,66,2620,4
61,67,1393,4
0,14,927,5
0,37,1362,5
0,41,605,5
0,44,2546,5
1,4,195,5
1,66,479,5
2,26,506,5
2,53,526,5
4,8,1186,5
4,11,1210,5
4,33,949,5
4,62,2424,5
4,72,405,5
5,24,1336,5
5,58,844,5
6,32,1580,5
6,45,1105,5
7,10,1820,5
7,46,751,5
8,18,895,5
8,30,833,5
8,47,1349,5
10,71,422,5
11,47,1374,5
12,13,497,5
12,18,978,5
12,53,767,5
13,32,756,5
13,54,1454,5
13,62,1925,5
14,21,1369,5
15,68,1317,5
17,28,379,5
18,25,2216,5
18,35,2166,5
18,61,2306,5
20,60,1005,5
20,62,955,5
20,63,644,5
20,66,2055,5
21,28,390,5
21,49,1114,5
22,52,1150,5
22,60,2554,5
22,63,1257,5
23,57,1781,5
23,62,2024,5
24,30,636,5
24,43,347,5
25,48,1425,5
26,27,308,5
26,52,411,5
26,60,2132,5
28,31,789,5
28,35,1888,5
28,43,340,5
28,49,749,5
29,73,279,5
30,53,993,5
31,55,25,5
32,40,502,5
32,68,1509,5
33,49,291,5
33,60,1518,5
33,66,1238,5
34,45,354,5
34,47,649,5
35,46,730,5
35,70,2366,5
37,47,1186,5
37,52,834,5
39,45,991,5
40,60,2063,5
40,69,761,5
40,72,49,5
42,49,681,5
42,55,842,5
42,66,804,5
43,64,512,5
45,46,1701,5
45,58,1763,5
45,65,328,5
48,50,1262,5
48,60,1592,5
48,70,1403,5
53,62,2492,5
53,63,1208,5
54,62,664,5
55,62,2340,5
55,68,923,5
56,66,1113,5
58,67,1401,5
60,63,1361,5
61,73,1449,5
63,70,1176,5
64,69,345,5
66,68,1692,5
1,30,752,6
1,55,880,6
2,8,835,6
2,64,485,6
2,73,1226,6
3,30,666,6
3,57,763,6
4,18,683,6
4,60,2453,6
4,68,1347,6
5,10,1421,6
5,20,228,6
5,28,1248,6
6,30,1110,6
6,33,702,6
6,60,1485,6
7,45,1507,6
8,21,1171,6
8,48,383,6
10,22,388,6
10,66,547,6
11,48,352,6
12,40,311,6
12,57,1568,6
14,50,826,6
15,57,2183,6
16,32,1150,6
16,55,1195,6
16,67,592,6
16,73,952,6
17,25,2251,6
18,28,633,6
19,25,837,6
19,33,546,6
19,47,1620,6
19,69,505,6
20,45,1264,6
21,22,268,6
21,68,1357,6
22,44,1109,6
22,47,15,6
22,49,1305,6
23,24,154,6
23,40,251,6
23,55,705,6
24,47,480,6
24,58,2038,6
25,68,1331,6
27,43,82,6
27,66,635,6
28,51,758,6
28,65,320,6
30,62,1554,6
31,44,192,6
32,50,2428,6
32,53,76,6
33,47,1086,6
33,58,1449,6
33,68,630,6
35,38,76,6
35,53,2382,6
35,64,1621,6
36,49,1498,6
37,55,1189,6
38,54,402,6
40,65,414,6
42,51,823,6
42,60,1947,6
45,47,735,6
46,60,538,6
48,62,1542,6
48,72,1289,6
52,60,1929,6
52,70,923,6
53,58,2447,6
54,56,1342,6
56,71,990,6
57,66,2486,6
63,73,694,6
71,72,513,6
0,29,1607,7
0,30,1550,7
0,55,2353,7
1,52,911,7
2,7,1643,7
2,13,353,7
2,23,214,7
3,12,808,7
3,41,626,7
3,45,880,7
4,47,174,7
4,55,860,7
5,32,1809,7
7,44,2156,7
7,52,1509,7
7,63,973,7
8,20,572,7
8,39,304,7
10,17,401,7
10,27,383,7
12,14,832,7
12,15,707,7
12,60,1764,7
13,20,1154,7
13,45,476,7
14,32,1618,7
14,49,501,7
15,35,2292,7
16,18,1107,7
16,58,1344,7
17,26,352,7
17,37,1016,7
17,40,463,7
17,44,727,7
17,58,2321,7
18,41,1814,7
18,55,176,7
19,35,818,7
19,60,973,7
21,70,438,7
22,31,999,7
22,39,1589,7
23,66,766,7
26,33,657,7
26,42,424,7
26,46,2152,7
26,50,1905,7
27,49,987,7
27,58,2271,7
28,47,571,7
28,60,2038,7
29,44,952,7
30,46,1400,7
30,72,542,7
31,48,936,7
31,54,1782,7
31,58,2351,7
32,62,2539,7
32,67,1393,7
35,52,1709,7
35,72,1953,7
36,70,2420,7
37,67,554,7
39,66,1769,7
40,54,1680,7
41,50,304,7
43,66,717,7
48,73,104,7
49,57,1062,7
52,62,1885,7
53,64,872,7
54,64,1275,7
56,65,461,7
60,67,1455,7
60,68,1496,7
65,67,557,7
65,69,348,7
1,11,1070,8
1,17,312,8
1,65,571,8
2,18,768,8
2,19,1040,8
2,45,198,8
2,47,580,8
2,67,885,8
3,10,1194,8
3,25,853,8
3,50,848,8
3,68,742,8
4,7,2093,8
4,17,258,8
4,50,2298,8
6,52,518,8
7,18,1958,8
8,73,410,8
9,44,1195,8
10,11,1023,8
10,26,549,8
10,31,933,8
11,73,378,8
12,45,73,8
13,63,598,8
14,62,924,8
15,19,1474,8
16,36,1329,8
17,33,871,8
17,55,602,8
17,57,2098,8
18,63,1034,8
19,44,1664,8
19,51,1503,8
19,67,582,8
19,72,1137,8
21,40,264,8
22,55,1009,8
23,28,79,8
23,63,708,8
23,64,359,8
23,71,357,8
25,47,2450,8
26,69,669,8
27,40,436,8
27,53,371,8
31,41,1827,8
31,57,2030,8
33,62,1486,8
34,55,728,8
36,52,2076,8
37,45,474,8
37,54,1030,8
39,44,1388,8
39,47,1604,8
40,62,2036,8
42,43,428,8
42,71,493,8
43,55,517,8
43,58,2232,8
45,69,637,8
46,67,1599,8
46,72,1941,8
47,57,2340,8
48,65,860,8
49,71,1051,8
50,59,74,8
53,69,1160,8
58,73,1466,8
63,67,339,8
0,60,31,9
1,5,1498,9
3,8,620,9
3,40,1091,9
3,44,1681,9
3,69,518,9
4,67,1236,9
5,45,1141,9
5,50,639,9
5,66,1969,9
6,36,1759,9
6,44,1130,9
6,48,130,9
12,72,315,9
13,26,210,9
13,31,626,9
13,36,1945,9
17,50,2196,9
19,49,452,9
19,57,728,9
19,64,844,9
20,28,1320,9
20,72,1453,9
21,27,465,9
22,51,937,9
24,44,1002,9
24,50,1957,9
24,59,1922,9
26,47,753,9
27,47,454,9
27,71,66,9
28,44,966,9
28,62,2008,9
29,58,1590,9
30,43,947,9
30,49,685,9
30,50,1506,9
31,68,948,9
33,61,1453,9
34,64,312,9
35,51,2227,9
37,64,534,9
38,68,1222,9
39,48,476,9
40,41,1672,9
40,48,1243,9
43,47,536,9
43,57,1995,9
43,67,957,9
45,60,1838,9
45,67,870,9
48,64,688,9
59,73,1098,9
2,50,1854,10
3,9,877,10
3,47,1597,10
4,10,302,10
4,31,851,10
5,57,540,10
6,9,1044,10
6,54,808,10
6,73,126,10
7,54,338,10
7,73,1086,10
10,32,398,10
12,21,541,10
12,66,931,10
13,24,333,10
13,33,458,10
13,57,1657,10
15,31,817,10
15,48,1414,10
15,60,2438,10
15,67,1209,10
16,25,1295,10
17,51,538,10
17,54,1895,10
17,60,2389,10
17,69,952,10
18,44,333,10
18,65,760,10
20,24,1414,10
20,30,1143,10
20,50,682,10
20,73,498,10
21,51,994,10
22,25,2435,10
23,27,292,10
23,45,389,10
23,58,1987,10
23,60,2056,10
24,31,832,10
25,66,2582,10
25,72,1960,10
26,58,2069,10
26,61,2068,10
26,62,2094,10
27,62,2306,10
27,67,1022,10
29,68,146,10
33,37,174,10
33,44,1224,10
35,47,2439,10
35,57,191,10
37,49,363,10
37,62,1360,10
39,46,1365,10
39,73,430,10
42,44,1031,10
45,62,1814,10
46,47,2427,10
59,67,1127,10
61,68,1437,10
67,73,367,10
68,72,1152,10
68,73,201,10
1,31,876,11
2,22,564,11
3,31,1496,11
4,41,2025,11
5,6,612,11
5,21,1585,11
5,30,977,11
5,31,1512,11
6,72,1227,11
7,30,1277,11
8,35,1272,11
10,44,1094,11
12,26,694,11
13,51,614,11
14,35,817,11
16,44,1403,11
16,63,259,11
17,18,426,11
17,41,1909,11
18,59,2060,11
20,56,1156,11
20,71,1603,11
21,50,2188,11
21,62,2282,11
22,42,630,11
22,62,2529,11
23,42,150,11
24,42,167,11
24,49,842,11
26,56,901,11
27,41,1859,11
27,61,2274,11
28,34,92,11
28,41,1602,11
28,72,223,11
30,36,1356,11
30,41,1292,11
32,51,939,11
33,39,558,11
35,44,2354,11
35,56,1501,11
36,37,1322,11
37,51,1210,11
37,59,1227,11
38,57,133,11
38,58,334,11
39,71,1322,11
40,58,1989,11
42,68,926,11
43,68,1040,11
48,69,589,11
53,65,823,11
59,68,1128,11
64,72,605,11
69,72,799,11
0,9,1821,12
1,45,446,12
2,27,449,12
2,59,1822,12
3,35,842,12
6,20,486,12
8,46,1613,12
9,29,929,12
11,35,1267,12
12,44,1306,12
13,47,763,12
13,55,616,12
14,31,1525,12
14,57,742,12
15,20,1711,12
15,41,2004,12
15,47,208,12
16,65,353,12
17,47,424,12
20,27,1541,12
20,54,326,12
21,43,531,12
21,47,280,12
21,64,794,12
24,46,2016,12
24,72,161,12
25,30,1473,12
25,35,109,12
25,39,1028,12
27,34,355,12
27,64,571,12
27,69,901,12
28,71,399,12
29,35,1406,12
29,54,982,12
31,67,953,12
32,59,2394,12
33,63,191,12
33,65,211,12
34,57,1716,12
37,72,699,12
39,54,588,12
42,58,1876,12
43,44,666,12
46,62,575,12
48,56,1221,12
48,66,1799,12
49,54,858,12
49,61,1328,12
56,62,1573,12
63,72,813,12
1,41,1850,13
1,70,332,13
3,59,826,13
5,49,522,13
5,51,1547,13
5,67,559,13
10,42,261,13
10,53,354,13
14,51,1544,13
14,69,547,13
15,33,930,13
15,51,758,13
16,24,695,13
16,31,1211,13
17,68,1160,13
19,54,619,13
20,21,1683,13
20,42,1251,13
20,57,582,13
23,47,592,13
24,40,119,13
25,67,1295,13
27,44,724,13
29,57,1237,13
30,55,1320,13
33,64,360,13
35,54,457,13
35,73,1254,13
36,55,2489,13
40,44,1120,13
40,45,240,13
42,62,1917,13
43,62,2264,13
48,54,899,13
49,72,888,13
53,59,2338,13
53,60,2519,13
54,71,1908,13
0,38,307,14
2,34,204,14
2,41,1593,14
2,44,1101,14
3,7,627,14
5,11,588,14
5,44,1681,14
6,57,1069,14
10,41,1772,14
10,62,2141,14
11,39,297,14
11,41,910,14
16,59,1264,14
17,49,1037,14
17,62,2355,14
21,67,1222,14
22,59,2384,14
25,44,2416,14
25,73,1335,14
27,31,582,14
27,33,823,14
29,67,230,14
30,42,519,14
30,44,1521,14
30,47,1027,14
33,69,217,14
34,51,711,14
40,67,966,14
47,50,2433,14
2,31,924,15
4,59,2261,15
8,56,838,15
10,65,503,15
11,67,29,15
14,41,611,15
15,50,2278,15
16,62,1389,15
17,65,660,15
21,31,1044,15
22,27,442,15
22,50,2418,15
34,50,1813,15
34,63,643,15
37,68,725,15
40,43,466,15
40,47,507,15
43,50,2095,15
43,59,2049,15
46,64,1840,15
51,67,989,15
54,57,268,15
1,47,317,16
1,53,257,16
2,60,1993,16
3,51,1515,16
3,58,913,16
5,8,591,16
5,9,1119,16
5,59,593,16
7,9,1504,16
7,57,179,16
8,12,784,16
8,54,888,16
10,13,456,16
11,20,557,16
19,50,817,16
21,55,1048,16
21,65,676,16
23,44,889,16
28,58,1967,16
30,51,1317,16
31,59,2072,16
33,50,1349,16
34,43,336,16
39,72,1170,16
40,51,913,16
45,59,1701,16
46,51,2514,16
49,67,192,16
49,68,361,16
53,67,1325,16
58,68,1449,16
58,72,2003,16
1,40,206,17
1,71,331,17
12,47,809,17
16,50,1290,17
23,50,1878,17
23,53,518,17
25,57,292,17
25,58,149,17
26,41,1609,17
28,50,1874,17
34,49,673,17
34,65,260,17
35,36,854,17
36,40,1902,17
38,41,335,17
39,68,327,17
46,71,2359,17
49,58,1331,17
1,43,363,18
2,10,178,18
2,42,107,18
12,71,763,18
13,29,662,18
15,62,2409,18
17,64,621,18
17,67,1072,18
19,29,808,18
19,31,1481,18
21,71,481,18
23,43,279,18
25,38,186,18
28,59,1837,18
34,62,1958,18
39,57,814,18
42,64,378,18
45,53,694,18
46,53,2393,18
46,56,1418,18
48,57,1165,18
2,71,505,19
3,11,634,19
5,41,353,19
8,41,919,19
11,58,1429,19
12,43,709,19
13,65,264,19
13,67,642,19
15,29,1217,19
16,41,1049,19
17,29,1047,19
17,59,2152,19
17,71,21,19
19,59,791,19
24,26,434,19
37,44,1398,19
43,65,580,19
3,29,844,20
8,67,50,20
11,54,876,20
11,57,1111,20
12,34,390,20
25,54,550,20
26,59,1855,20
33,41,1082,20
36,44,2697,20
36,67,1634,20
40,53,458,20
46,50,854,20
51,58,2381,20
67,68,171,20
1,44,1027,21
6,7,1063,21
8,9,765,21
10,47,403,21
12,41,1414,21
13,41,1468,21
14,59,806,21
29,41,1033,21
42,50,1790,21
42,59,1755,21
43,51,464,21
46,59,915,21
51,59,2112,21
1,42,329,22
2,21,345,22
4,9,613,22
5,29,747,22
10,50,2033,22
12,59,1631,22
24,53,416,22
25,41,467,22
27,50,2146,22
27,51,529,22
35,48,1346,22
56,72,525,22
2,72,122,23
15,59,2241,23
15,65,723,23
20,36,1360,23
21,41,1934,23
21,44,1189,23
22,53,71,23
24,29,988,23
30,59,1490,23
33,59,1313,23
2,51,893,24
8,57,1119,24
26,29,697,24
33,51,1036,24
8,68,210,25
13,50,1756,25
13,59,1711,25
14,29,869,25
17,43,122,25
23,36,1981,25
23,59,1838,25
27,59,2102,25
34,41,1535,25
36,41,1090,25
37,50,1254,25
39,41,615,25
1,9,418,26
2,29,969,26
8,58,1429,26
11,68,178,26
12,29,971,26
16,29,791,26
16,51,1213,26
35,41,381,26
40,42,182,26
4,29,1248,27
7,41,243,27
10,34,308,27
21,34,482,27
22,29,1406,27
28,29,892,27
1,50,2117,28
21,36,2098,28
37,41,1009,28
27,29,1000,29
36,47,2378,29
40,50,1931,29
49,59,1115,29
56,59,1507,29
1,36,2108,30
20,41,379,30
21,53,265,30
32,38,2435,30
36,50,975,30
36,62,709,30
6,41,866,31
36,42,1843,31
42,53,583,31
8,11,31,32
21,59,2159,32
40,59,1899,32
1,51,828,33
12,36,1592,33
18,38,2140,33
1,59,2083,34
8,38,1244,34
10,36,2001,34
24,38,1966,34
2,9,151,35
4,38,2307,35
34,38,1824,35
23,29,843,37
10,29,1108,38
24,36,1983,38
31,38,2159,38
36,43,2256,39
1,29,1135,41
21,42,436,42
12,38,1657,43
17,38,2211,44
2,38,1860,45
22,38,2425,46
26,38,1924,46
37,38,1258,46
2,36,1851,47
16,38,1293,48
21,29,1282,48
28,38,1884,49
30,38,1501,49
19,38,821,50
33,38,1358,50
36,59,1033,50
27,38,2160,51
3,38,849,52
5,38,658,55
14,38,825,56
13,38,1772,59
29,38,1368,59
36,53,2349,59
15,38,2288,60
23,38,1890,61
9,38,1723,64
1,38,2125,65
10,38,2038,66
21,38,2192,120
36,38,928,150
